,id,name,label,img_url
0,0,frame_000000,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000000.PNG
1,1,frame_000001,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000001.PNG
2,2,frame_000002,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000002.PNG
3,3,frame_000003,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000003.PNG
4,4,frame_000004,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000004.PNG
5,5,frame_000005,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000005.PNG
6,6,frame_000006,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000006.PNG
7,7,frame_000007,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000007.PNG
8,8,frame_000008,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000008.PNG
9,9,frame_000009,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000009.PNG
10,10,frame_000010,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000010.PNG
11,11,frame_000011,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000011.PNG
12,12,frame_000012,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000012.PNG
13,13,frame_000013,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000013.PNG
14,14,frame_000014,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000014.PNG
15,15,frame_000015,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000015.PNG
16,16,frame_000016,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000016.PNG
17,17,frame_000017,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000017.PNG
18,18,frame_000018,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000018.PNG
19,19,frame_000019,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000019.PNG
20,20,frame_000020,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000020.PNG
21,21,frame_000021,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000021.PNG
22,22,frame_000022,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000022.PNG
23,23,frame_000023,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000023.PNG
24,24,frame_000024,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000024.PNG
25,25,frame_000025,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000025.PNG
26,26,frame_000026,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000026.PNG
27,27,frame_000027,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000027.PNG
28,28,frame_000028,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000028.PNG
29,29,frame_000029,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000029.PNG
30,30,frame_000030,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000030.PNG
31,31,frame_000031,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000031.PNG
32,32,frame_000032,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000032.PNG
33,33,frame_000033,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000033.PNG
34,34,frame_000034,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000034.PNG
35,35,frame_000035,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000035.PNG
36,36,frame_000036,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000036.PNG
37,37,frame_000037,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000037.PNG
38,38,frame_000038,positive-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000038.PNG
39,39,frame_000039,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000039.PNG
40,40,frame_000040,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000040.PNG
41,41,frame_000041,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000041.PNG
42,42,frame_000042,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000042.PNG
43,43,frame_000043,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000043.PNG
44,44,frame_000044,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000044.PNG
45,45,frame_000045,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000045.PNG
46,46,frame_000046,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000046.PNG
47,47,frame_000047,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000047.PNG
48,48,frame_000048,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000048.PNG
49,49,frame_000049,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000049.PNG
50,50,frame_000050,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000050.PNG
51,51,frame_000051,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000051.PNG
52,52,frame_000052,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000052.PNG
53,53,frame_000053,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000053.PNG
54,54,frame_000054,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000054.PNG
55,55,frame_000055,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000055.PNG
56,56,frame_000056,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000056.PNG
57,57,frame_000057,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000057.PNG
58,58,frame_000058,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000058.PNG
59,59,frame_000059,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000059.PNG
60,60,frame_000060,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000060.PNG
61,61,frame_000061,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000061.PNG
62,63,frame_000063,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000063.PNG
63,64,frame_000064,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000064.PNG
64,65,frame_000065,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000065.PNG
65,66,frame_000066,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000066.PNG
66,67,frame_000067,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000067.PNG
67,69,frame_000069,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000069.PNG
68,70,frame_000070,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000070.PNG
69,71,frame_000071,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000071.PNG
70,72,frame_000072,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000072.PNG
71,73,frame_000073,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000073.PNG
72,74,frame_000074,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000074.PNG
73,75,frame_000075,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000075.PNG
74,76,frame_000076,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000076.PNG
75,77,frame_000077,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000077.PNG
76,78,frame_000078,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000078.PNG
77,79,frame_000079,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000079.PNG
78,80,frame_000080,neutral,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000080.PNG
79,81,frame_000081,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000081.PNG
80,82,frame_000082,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000082.PNG
81,83,frame_000083,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000083.PNG
82,84,frame_000084,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000084.PNG
83,85,frame_000085,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000085.PNG
84,86,frame_000086,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000086.PNG
85,87,frame_000087,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000087.PNG
86,88,frame_000088,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000088.PNG
87,89,frame_000089,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000089.PNG
88,90,frame_000090,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000090.PNG
89,91,frame_000091,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000091.PNG
90,92,frame_000092,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000092.PNG
91,93,frame_000093,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000093.PNG
92,94,frame_000094,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000094.PNG
93,95,frame_000095,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000095.PNG
94,96,frame_000096,negative-deactive,D:/Drive_D/05/export face/face005_psyteamimage/images\frame_000096.PNG
