video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face2_02,0.26,0.35,happy,26,35,1300,1750
face2_02,0.36,0.38,relax,36,38,1800,1900
face2_02,0.43,0.53,neutral,43,53,2150,2650
face2_02,0.54,0.58,happy,54,58,2700,2900
face2_02,0.59,1.03,happy,59,63,2950,3150
face2_02,1.19,1.22,happy,79,82,3950,4100
face2_02,1.23,1.03,stress,83,63,4150,3150
face2_02,1.44,1.49,neutral,104,109,5200,5450
face2_02,1.59,2,happy,119,120,5950,6000
face2_02,2.03,2.08,relax,123,128,6150,6400
face2_02,2.14,2.15,stress,134,135,6700,6750
face2_02,2.17,2.18,happy,137,138,6850,6900
face2_02,2.19,2.02,happy,139,122,6950,6100
face2_02,2.27,2.36,relax,147,156,7350,7800
face2_02,2.39,2.43,happy,159,163,7950,8150
face2_02,2.47,2.51,neutral,167,171,8350,8550
face2_02,2.55,2.59,neutral,175,179,8750,8950
face2_02,3.03,3.07,happy,183,187,9150,9350
face2_02,3.14,3.02,neutral,194,182,9700,9100
face2_02,3.24,3.28,happy,204,208,10200,10400
face2_02,3.29,3.35,stress,209,215,10450,10750
face2_02,3.36,3.42,neutral,216,222,10800,11100
face2_02,3.46,3.05,neutral,226,185,11300,9250
face2_02,3.51,3.58,happy,231,238,11550,11900
face2_02,3.59,4,stress,239,240,11950,12000
face2_02,4.23,4.25,neutral,263,265,13150,13250
face2_02,4.29,4.03,relax,269,243,13450,12150
face2_02,4.31,4.43,stress,271,283,13550,14150
face2_02,4.56,5.03,happy,296,303,14800,15150
face2_02,5.04,5.14,neutral,304,314,15200,15700
face2_02,5.17,5.27,relax,317,327,15850,16350
face2_02,5.31,5.57,neutral,331,357,16550,17850
face2_02,5.58,6.01,happy,358,361,17900,18050
face2_02,6.11,6.22,happy,371,382,18550,19100
face2_02,6.23,6.04,relax,383,364,19150,18200
face2_02,6.45,6.49,happy,405,409,20250,20450
face2_02,6.05,6.56,relax,365,416,18250,20800
face2_02,6.57,7.01,relax,417,421,20850,21050
face2_02,7.02,7.05,relax,422,425,21100,21250
face2_02,7.06,7.01,neutral,426,421,21300,21050
face2_02,7.15,7.17,happy,435,437,21750,21850
face2_02,7.22,7.32,relax,442,452,22100,22600
face2_02,7.36,7.04,happy,456,424,22800,21200
face2_02,7.44,7.45,happy,464,465,23200,23250
face2_02,7.46,7.58,happy,466,478,23300,23900
face2_02,7.59,8.11,relax,479,491,23950,24550
face2_02,8.12,8.13,happy,492,493,24600,24650
face2_02,8.14,8.22,neutral,494,502,24700,25100
face2_02,8.23,8.29,stress,503,509,25150,25450
face2_02,8.03,8.41,stress,483,521,24150,26050
face2_02,8.44,8.48,happy,524,528,26200,26400
face2_02,8.49,8.53,neutral,529,533,26450,26650
face2_02,9.01,9.03,happy,541,543,27050,27150
face2_02,9.04,9.23,relax,544,563,27200,28150
face2_02,9.03,9.34,happy,543,574,27150,28700
face2_02,9.35,9.39,relax,575,579,28750,28950
face2_02,9.04,9.42,happy,544,582,27200,29100
face2_02,9.53,9.55,happy,593,595,29650,29750
face2_02,10.01,10.04,neutral,601,604,30050,30200
face2_02,10.08,10.02,neutral,608,602,30400,30100
face2_02,10.33,10.04,happy,633,604,31650,30200
face2_02,10.48,10.55,stress,648,655,32400,32750
face2_02,10.56,10.57,happy,656,657,32800,32850
face2_02,11.06,11.13,angry,666,673,33300,33650
face2_02,11.14,11.15,happy,674,675,33700,33750
face2_02,11.21,11.25,relax,681,685,34050,34250
face2_02,11.29,11.04,relax,689,664,34450,33200
face2_02,11.41,11.43,happy,701,703,35050,35150
face2_02,11.46,11.55,neutral,706,715,35300,35750
face2_02,11.59,12.08,happy,719,728,35950,36400
face2_02,12.09,12.12,relax,729,732,36450,36600
face2_02,12.21,12.24,happy,741,744,37050,37200
face2_02,11.31,11.49,happy,691,709,34550,35450
face2_02,11.05,11.52,neutral,665,712,33250,35600
