video,time_start,time_end,label
face2_01,0.01,0.55,neutral
face2_01,0.56,1.08,relax
face2_01,1.09,1.24,neutral
face2_01,1.32,1.36,stress
face2_01,1.37,1.04,stress
face2_01,1.41,1.44,happy
face2_01,1.45,1.57,neutral
face2_01,1.58,2.01,stress
face2_01,2.02,2.08,neutral
face2_01,2.09,2.14,stress
face2_01,2.15,2.02,happy
face2_01,2.21,2.28,happy
face2_01,2.31,2.34,happy
face2_01,2.37,2.41,happy
face2_01,2.42,2.49,neutral
face2_01,3.11,3.13,stress
face2_01,3.14,3.19,neutral
face2_01,3.02,3.31,stress
face2_01,3.32,3.35,sad
face2_01,3.36,4.03,sad
face2_01,4.04,4.05,sad
face2_01,4.06,4.09,angry
face2_01,4.01,4.02,stress
face2_01,4.21,4.25,neutral
face2_01,4.26,4.27,happy
face2_01,4.28,4.34,stress
face2_01,4.57,5.04,neutral
face2_01,5.05,5.06,happy
face2_01,5.07,5.08,neutral
face2_01,5.17,5.19,stress
face2_01,5.02,5.23,happy
face2_01,5.24,5.28,stress
face2_01,5.36,5.04,neutral
face2_01,5.41,5.43,stress
face2_01,5.48,5.52,happy
face2_01,5.53,5.54,happy
face2_01,5.55,5.59,happy
face2_01,6.08,6.09,happy
face2_01,6.01,6.13,stress
face2_01,6.17,6.18,happy
face2_01,6.22,6.26,stress
face2_01,6.27,6.34,relax
face2_01,6.35,6.37,stress
face2_01,6.38,6.39,relax
face2_01,6.04,6.43,happy
face2_01,6.44,6.46,stress
face2_01,6.54,6.55,stress
face2_01,6.56,6.58,relax
face2_01,6.59,7.01,stress
face2_01,7.17,7.27,stress
face2_01,7.46,7.52,stress
face2_01,7.53,8.01,neutral
face2_01,8.06,8.11,relax
face2_01,8.12,8.14,happy
face2_01,8.15,8.03,stress
face2_01,8.31,8.33,happy
face2_01,8.34,8.45,relax
face2_01,8.46,8.53,happy
face2_01,8.57,9.01,happy
face2_01,9.05,9.13,relax
face2_01,9.14,9.18,stress
face2_01,9.23,9.33,stress
face2_01,9.34,9.36,stress
face2_01,9.37,9.04,happy
face2_01,9.46,9.48,happy
face2_01,9.49,9.53,relax
face2_01,9.54,10.06,stress
face2_01,10.07,10.01,happy
face2_01,10.11,10.21,relax
face2_01,10.22,10.26,happy
face2_01,10.27,10.31,relax
face2_01,10.36,10.05,neutral
face2_01,10.51,11.04,stress
face2_01,11.11,11.12,stress
face2_01,11.25,11.26,stress
face2_01,11.27,11.33,stress
face2_01,11.34,12.01,relax
face2_01,12.02,12.31,relax
face2_01,12.36,12.39,angry
face2_01,12.58,13.08,neutral
face2_01,13.14,13.15,stress
face2_01,13.16,13.34,neutral
face2_01,13.35,13.36,stress
face2_01,13.37,14.12,stress
face2_01,14.17,14.22,stress
face2_01,14.23,13.25,neutral
face2_01,14.03,14.04,neutral
face2_01,14.41,14.49,stress
face2_01,14.59,15.02,neutral
face2_01,15.03,15.09,stress
face2_01,15.01,15.36,neutral
face2_01,15.42,15.45,stress
face2_01,16.06,16.08,happy
face2_01,16.14,16.16,relax
face2_01,16.02,16.31,neutral
face2_01,13.32,16.33,happy
face2_01,16.34,16.39,neutral
face2_01,16.04,16.43,relax
face2_01,16.44,16.55,stress
face2_01,16.56,17.00,happy
face2_01,17.08,17.16,relax
face2_01,17.17,17.32,relax
face2_01,17.52,17.53,stress
face2_01,17.54,18.01,neutral
face2_01,18.02,18.08,sad
face2_01,18.09,18.02,relax
face2_01,18.21,18.27,neutral
face2_01,18.31,18.04,neutral
face2_01,18.41,18.45,stress
face2_01,19.03,19.02,angry
face2_01,19.03,19.08,happy
face2_01,19.11,19.13,stress
face2_01,19.16,19.27,neutral
face2_01,19.28,19.03,happy
face2_01,19.31,19.33,neutral
face2_01,19.41,19.42,happy
face2_01,19.43,19.44,sad
face2_01,19.45,19.48,happy
face2_01,19.49,20.03,relax
face2_01,20.04,20.07,stress
face2_01,20.08,20.01,happy
face2_01,20.11,20.14,sad
face2_01,20.15,20.17,neutral
face2_01,20.24,20.33,neutral
face2_01,20.34,20.37,neutral
face2_01,20.38,20.45,stress
face2_01,20.52,20.56,stress
face2_01,20.57,21.08,neutral
face2_01,21.12,21.02,neutral
face2_01,21.29,21.34,stress
face2_01,21.35,21.48,neutral
face2_01,21.49,21.53,neutral
face2_01,22.23,22.36,neutral
face2_01,22.49,22.05,neutral
face2_01,22.51,23.01,relax
face2_01,23.11,23.12,stress
face2_01,23.13,23.17,relax
face2_01,23.18,23.02,relax
face2_01,23.21,23.24,stress
face2_01,23.41,23.45,stress
face2_01,23.53,24.09,neutral
face2_01,24.01,24.13,relax
face2_01,24.14,24.22,relax
face2_01,24.23,24.33,sad
face2_01,24.34,24.36,relax
face2_01,24.37,24.04,stress
face2_01,24.41,24.45,stress
face2_01,24.52,24.58,stress
face2_01,25.04,25.05,stress
face2_01,25.09,25.14,relax
face2_01,25.15,25.02,neutral
face2_01,25.37,25.41,happy
