video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face9_3,0.18,0.24,neutral,18,24,450,600
face9_3,0.25,0.31,relax,25,31,625,775
face9_3,0.36,0.41,relax,36,41,900,1025
face9_3,0.41,0.49,relax,41,49,1025,1225
face9_3,0.05,0.52,relax,5,52,125,1300
face9_3,0.53,0.58,neutral,53,58,1325,1450
face9_3,1.06,1.16,neutral,66,76,1650,1900
face9_3,1.17,1.18,neutral,77,78,1925,1950
face9_3,1.19,1.33,neutral,79,93,1975,2325
face9_3,1.34,1.38,stress,94,98,2350,2450
face9_3,1.46,1.47,relax,106,107,2650,2675
face9_3,1.48,1.49,relax,108,109,2700,2725
face9_3,1.59,2,relax,119,120,2975,3000
face9_3,2.01,2.34,relax,121,154,3025,3850
face9_3,2.35,2.38,happy,155,158,3875,3950
face9_3,2.39,2.41,neutral,159,161,3975,4025
face9_3,2.42,2.44,happy,162,164,4050,4100
face9_3,2.56,3.06,stress,176,186,4400,4650
face9_3,3.07,3.08,stress,187,188,4675,4700
face9_3,3.09,3.13,stress,189,193,4725,4825
face9_3,3.14,3.15,stress,194,195,4850,4875
face9_3,3.17,3.19,neutral,197,199,4925,4975
face9_3,3.03,3.43,stress,183,223,4575,5575
face9_3,3.44,3.49,happy,224,229,5600,5725
face9_3,3.05,4.03,neutral,185,243,4625,6075
face9_3,4.04,4.05,relax,244,245,6100,6125
face9_3,4.06,4.07,happy,246,247,6150,6175
