Time,label
0.27 - 0.30,neutral
1.56 - 1.57,stress
2.32 - 2.43,sad
2.44 - 2.51,neutral
3.52 - 3.53,neutral
3.54 - 4.00,sad
4.01 - 4.06,stress
4.07 - 4.12,sad
4.16 - 4.18,sad
4.19 - 4.24,relax
4.36 - 4.49,relax
4.50 - 4.51,stress
4.52 - 4.57,relax
5.02 - 5.06,happy
5.07 - 5.10,neutral
5.22 - 5.23,stress
5.24 - 5.48,neutral
5.55 - 6.01,neutral
6.08 - 6.49,neutral
6.50 - 6.53,stress
6.54 - 6.56,neutral
6.57 - 6.58,relax
6.59 - 7.03,neutral
7.04 - 7.07,relax
8.18 - 8.19,sad
8.44 - 8.46,stress
9.01 - 9.07,stress
9.49 - 9.50,sad
9.50 - 10.00,stress
10.02 - 10.05,sad
10.06 - 10.12,sad
10.16 - 10.17,sad
10.18 - 10.23,sad
10.26 - 10.39,sad
11.40 - 11.48,sad
12.01 - 12.06,sad
12.12 - 12.23,sad
12.35 - 12.45,neutral
13.13 - 13.19,sad
13.54 - 14.00,neutral
14.10 - 14.18,neutral
14.20 - 14.25,neutral
14.33 - 14.44,neutral
19.36 - 19.37,sad
19.37 - 19.38,happy
19.39 - 19.42,angry
19.49 - 19.54,neutral
19.55 - 19.56,angry
20.05 - 20.14,neutral
20.20 - 20.21,relax
20.21 - 20.22,angry
20.25 - 20.26,angry
20.27 - 20.29,relax
20.31 - 20.36,relax
20.37 - 20.48,neutral
20.56 - 21.00,neutral
21.29 - 21.30,neutral
22.04 - 22.08,neutral
22.09 - 22.10,relax
22.59 - 23.00,neutral
23.21 - 23.24,neutral
23.25 - 23.31,relax
23.32 - 23.42,neutral
26.10 - 26.12,stress
26.13 - 26.15,neutral
26.27 - 26.33,neutral
26.34 - 26.36,relax
29.44 - 29.48,neutral
30.19 - 30.20,neutral
32.44 - 32.49,sad
32.50 - 32.51,stress
32.58 - 33.00,neutral
33.01 - 33.03,stress
33.06 - 33.13,neutral
33.53 - 34.06,neutral
34.07 - 34.13,neutral
34.34 - 34.43,neutral
34.44 - 34.46,relax
34.57 - 35.00,relax
36.17 - 36.36,neutral
