video,time_start,time_end,label
face9_2,0.12,0.24,relax
face9_2,0.25,0.27,relax
face9_2,0.41,0.47,neutral
face9_2,0.48,1.07,stress
face9_2,1.08,1.28,relax
face9_2,1.34,2,happy
face9_2,2.09,2.14,relax
face9_2,2.15,2.17,happy
face9_2,2.18,2.22,happy
face9_2,2.29,2.31,relax
face9_2,2.32,2.35,happy
face9_2,2.36,2.38,relax
face9_2,2.39,2.48,happy
face9_2,3.08,3.11,relax
face9_2,3.12,3.43,neutral
face9_2,3.44,3.45,stress
face9_2,3.46,3.57,neutral
face9_2,3.58,4,relax
face9_2,4.07,4.11,neutral
face9_2,4.23,4.28,relax
face9_2,4.29,4.32,happy
