,Time,label
0,0.27 - 0.30,neutral
1,1.56 - 1.57,stress
2,2.32 - 2.43,sad
3,2.44 - 2.51,neutral
4,3.52 - 3.53,neutral
5,3.54 - 4.00,sad
6,4.01 - 4.06,stress
7,4.07 - 4.12,sad
8,4.16 - 4.18,sad
9,4.19 - 4.24,relax
10,4.36 - 4.49,relax
11,4.50 - 4.51,stress
12,4.52 - 4.57,relax
13,5.02 - 5.06,happy
14,5.07 - 5.10,neutral
15,5.22 - 5.23,stress
16,5.24 - 5.48,neutral
17,5.55 - 6.01,neutral
18,6.08 - 6.49,neutral
19,6.50 - 6.53,stress
20,6.54 - 6.56,neutral
21,6.57 - 6.58,relax
22,6.59 - 7.03,neutral
23,7.04 - 7.07,relax
24,8.18 - 8.19,sad
25,8.44 - 8.46,stress
26,9.01 - 9.07,stress
27,9.49 - 9.50,sad
28,9.50 - 10.00,stress
29,10.02 - 10.05,sad
30,10.06 - 10.12,sad
31,10.16 - 10.17,sad
32,10.18 - 10.23,sad
33,10.26 - 10.39,sad
34,11.40 - 11.48,sad
35,12.01 - 12.06,sad
36,12.12 - 12.23,sad
37,12.35 - 12.45,neutral
38,13.13 - 13.19,sad
39,13.54 - 14.00,neutral
40,14.10 - 14.18,neutral
41,14.20 - 14.25,neutral
42,14.33 - 14.44,neutral
43,19.36 - 19.37,sad
44,19.37 - 19.38,happy
45,19.39 - 19.42,angry
46,19.49 - 19.54,neutral
47,19.55 - 19.56,angry
48,20.05 - 20.14,neutral
49,20.20 - 20.21,relax
50,20.21 - 20.22,angry
51,20.25 - 20.26,angry
52,20.27 - 20.29,relax
53,20.31 - 20.36,relax
54,20.37 - 20.48,neutral
55,20.56 - 21.00,neutral
56,21.29 - 21.30,neutral
57,22.04 - 22.08,neutral
58,22.09 - 22.10,relax
59,22.59 - 23.00,neutral
60,23.21 - 23.24,neutral
61,23.25 - 23.31,relax
62,23.32 - 23.42,neutral
63,26.10 - 26.12,stress
64,26.13 - 26.15,neutral
65,26.27 - 26.33,neutral
66,26.34 - 26.36,relax
67,29.44 - 29.48,neutral
68,30.19 - 30.20,neutral
69,32.44 - 32.49,sad
70,32.50 - 32.51,stress
71,32.58 - 33.00,neutral
72,33.01 - 33.03,stress
73,33.06 - 33.13,neutral
74,33.53 - 34.06,neutral
75,34.07 - 34.13,neutral
76,34.34 - 34.43,neutral
77,34.44 - 34.46,relax
78,34.57 - 35.00,relax
79,36.17 - 36.36,neutral
