,time,time_start,time_end,label
0,0.36 - 0.37,0.36,0.37,neutral
1,0.38- 0.40,0.38,0.41,มีความสุข
2,0.57 - 0.58,0.57,0.58,มีความสุข
3,0.59 - 1.03,0.59,1.03,มีความสุข
4,1.04 - 1.06,1.04,1.06,neutral
5,1.16 - 1.17,1.16,1.17,neutral
6,1.37 - 1.39,1.37,1.39,มีความสุุข
7,1.50 - 1.51,1.51,1.52,เครียด
8,1.52 - 1.54,1.52,1.54,มีความสุข
9,1.55 - 2.00,1.55,2.01,neutral
10,2.01 - 2.02,2.01,2.02,มีความสุข
11,2.06 - 2.09,2.06,2.09,มีความสุข
12,2.12 - 2.13,2.12,2.13,มีความสุข
13,2.14 - 2.16,2.14,2.16,มีความสุข
