,Time,time_start,time_end,label
0,0.10 - 0.15,0.1,0.15,มีความสุข
1,0.16 - 0.22,0.16,0.22,มีความสุข
2,0.23 - 0.26,0.23,0.26,ผ่อนคลาย
3,0.27-0.31,0.27,0.31,neutral
4,0.36-0.50,0.36,0.51,neutral
5,0.51 - 1.00,0.51,1.0,ผ่อนคลาย
6,1.01 - 1.03 ,1.01,1.03,neutral
7,1.04 - 1.05,1.04,1.05,neutral
8,1.13-1.14,1.13,1.14,ผ่อนคลาย
9,1.15-1.16,1.15,1.16,neutral
10,1.17 - 1.36,1.17,1.36,มีความสุข
11,1.37-1.41,1.37,1.41,เครียด
12,1.42-1.48,1.42,1.48,ผ่อนคลาย
13,1.49-1.52,1.49,1.52,เครียด
14,1.56-2.10,1.56,2.1,neutral
15,2.11 - 2.18,2.11,2.18,เครียด
16,2.19-2.22,2.19,2.22,neutral
17,2.23 - 2.26,2.23,2.26,เศร้า
18,2.31-2.32,2.31,2.32,เศร้า
19,2.33-2.44,2.33,2.44,เครียด
20,2.45-2.47,2.45,2.47,ผ่อนคลาย
21,2.51-2.52,2.51,2.52,neutral
22,3.08-3.10,3.08,3.11,เครียด
23,3.11-3.14,3.11,3.14,neutral
24,3.18-3.25,3.18,3.25,neutral
25,3.26 - 3.27,3.26,3.27,neutral
26,3.28 - 3.32,3.28,3.32,โกรธ
27,3.33 - 3.51,3.33,3.51,เครียด
28,3.54-3.58,3.54,3.58,โกรธ
29,4.01 - 4.05,4.01,4.05,ผ่อนคลาย
30,4.06 - 4.11,4.06,4.11,เครียด
31,4:16 - 4.21,0.18,4.21,neutral
32,4.22-4.24,4.22,4.24,โกรธ
33,4.31-4.32,4.31,4.32,ผ่อนคลาย
34,4.33 - 4.39,4.33,4.39,เครียด
35,4.40-4.42,4.4,4.42,เศร้า
36,4.43 - 4.45,4.43,4.45,เศร้า
37,4.46 - 5.01,4.46,5.01,เศร้า
38,5.27 - 5.31,5.27,5.31,มีความสุข
39,5.32-5.36,5.32,5.36,neutral
40,5.37-5.41,5.37,5.41,มีความสุข
41,5.42 - 5.51,5.42,5.51,เครียด
42,5.52 - 6.13,5.52,6.13,ผ่อนคลาย
