,video,time_start,time_end,label
0,face5_02,18.24,18.26,neutral
1,face5_02,18.34,18.37,happy
2,face5_02,18.47,19.02,happy
3,face5_02,19.03,19.08,neutral
4,face5_02,19.09,19.12,stress
5,face5_02,19.13,19.23,neutral
6,face5_02,19.26,19.28,neutral
7,face5_02,19.29,19.31,stress
8,face5_02,19.31,19.36,stress
9,face5_02,19.37,19.39,happy
10,face5_02,20.04,20.12,happy
11,face5_02,20.14,20.17,happy
12,face5_02,20.21,20.27,happy
13,face5_02,20.28,20.32,neutral
14,face5_02,20.33,20.37,stress
15,face5_02,20.38,20.41,neutral
16,face5_02,20.42,20.47,stress
17,face5_02,20.48,20.52,happy
18,face5_02,20.53,20.56,happy
19,face5_02,20.58,21.08,happy
20,face5_02,21.11,21.12,happy
21,face5_02,21.05,22.11,happy
22,face5_02,22.12,22.15,happy
23,face5_02,22.26,22.33,relax
24,face5_02,22.36,22.41,happy
25,face5_02,22.43,22.45,happy
26,face5_02,22.55,22.56,happy
27,face5_02,23.45,23.47,relax
28,face5_02,23.49,23.51,relax
29,face5_02,23.5,23.51,relax
30,face5_02,23.52,23.58,happy
31,face5_02,24.01,24.04,happy
32,face5_02,24.05,24.07,neutral
33,face5_02,24.08,24.14,neutral
34,face5_02,24.15,24.17,relax
35,face5_02,24.24,24.35,relax
36,face5_02,24.37,24.42,stress
37,face5_02,24.43,24.57,stress
38,face5_02,25.28,25.33,stress
39,face5_02,25.36,25.39,stress
40,face5_02,25.39,25.47,relax
41,face5_02,25.48,25.49,stress
42,face5_02,25.05,25.52,happy
43,face5_02,25.53,26.03,happy
44,face5_02,26.14,26.21,angry
45,face5_02,26.22,26.28,happy
46,face5_02,26.29,26.37,happy
47,face5_02,26.38,26.42,neutral
48,face5_02,26.43,26.53,neutral
49,face5_02,26.54,27.04,stress
50,face5_02,27.06,27.07,happy
51,face5_02,27.48,27.51,stress
52,face5_02,28.34,28.35,relax
53,face5_02,28.04,28.43,happy
54,face5_02,29.01,29.02,neutral
55,face5_02,29.04,29.05,neutral
56,face5_02,29.06,29.22,neutral
57,face5_02,29.34,29.35,neutral
58,face5_02,29.38,29.44,relax
59,face5_02,29.46,29.51,neutral
60,face5_02,30.18,30.22,happy
61,face5_02,30.23,30.25,happy
62,face5_02,30.26,30.35,relax
63,face5_02,30.36,30.46,happy
64,face5_02,30.47,30.48,neutral
65,face5_02,30.49,30.55,neutral
66,face5_02,30.55,30.58,neutral
67,face5_02,31.0,31.05,neutral
68,face5_02,31.08,31.09,happy
69,face5_02,31.01,31.15,happy
70,face5_02,31.16,31.23,happy
71,face5_02,31.33,31.34,stress
