,Time,time_start,time_end,label,start_sec,end_sec
0,0.10 - 0.15,0.1,0.15,happy,1.0,15.0
1,0.16 - 0.22,0.16,0.22,happy,16.0,22.0
2,0.23 - 0.26,0.23,0.26,relax,23.0,26.0
3,0.27-0.31,0.27,0.31,neutral,27.0,31.0
4,0.36-0.50,0.36,0.51,neutral,36.0,51.0
5,0.51 - 1.00,0.51,1.0,relax,51.0,60.0
6,1.01 - 1.03 ,1.01,1.03,neutral,61.0,63.0
7,1.04 - 1.05,1.04,1.05,neutral,64.0,65.0
8,1.13-1.14,1.13,1.14,relax,73.0,74.0
9,1.15-1.16,1.15,1.16,neutral,75.0,76.0
10,1.17 - 1.36,1.17,1.36,happy,77.0,96.0
11,1.37-1.41,1.37,1.41,angry,97.0,101.0
12,1.42-1.48,1.42,1.48,relax,102.0,108.0
13,1.49-1.52,1.49,1.52,angry,109.0,112.0
14,1.56-2.10,1.56,2.1,neutral,116.0,121.0
15,2.11 - 2.18,2.11,2.18,angry,131.0,138.0
16,2.19-2.22,2.19,2.22,neutral,139.0,142.0
17,2.23 - 2.26,2.23,2.26,sad,143.0,146.0
18,2.31-2.32,2.31,2.32,sad,151.0,152.0
19,2.33-2.44,2.33,2.44,angry,153.0,164.0
20,2.45-2.47,2.45,2.47,relax,165.0,167.0
21,2.51-2.52,2.51,2.52,neutral,171.0,172.0
22,3.08-3.10,3.08,3.11,angry,188.0,191.0
23,3.11-3.14,3.11,3.14,neutral,191.0,194.0
24,3.18-3.25,3.18,3.25,neutral,198.0,205.0
25,3.26 - 3.27,3.26,3.27,neutral,206.0,207.0
26,3.28 - 3.32,3.28,3.32,angry,208.0,212.0
27,3.33 - 3.51,3.33,3.51,angry,213.0,231.0
28,3.54-3.58,3.54,3.58,angry,234.0,238.0
29,4.01 - 4.05,4.01,4.05,relax,241.0,245.0
30,4.06 - 4.11,4.06,4.11,angry,246.0,251.0
31,4:16 - 4.21,0.18,4.21,neutral,18.0,261.0
32,4.22-4.24,4.22,4.24,angry,262.0,264.0
33,4.31-4.32,4.31,4.32,relax,271.0,272.0
34,4.33 - 4.39,4.33,4.39,angry,273.0,279.0
35,4.40-4.42,4.4,4.42,sad,244.0,282.0
36,4.43 - 4.45,4.43,4.45,sad,283.0,285.0
37,4.46 - 5.01,4.46,5.01,sad,286.0,301.0
38,5.27 - 5.31,5.27,5.31,happy,327.0,331.0
39,5.32-5.36,5.32,5.36,neutral,332.0,336.0
40,5.37-5.41,5.37,5.41,happy,337.0,341.0
41,5.42 - 5.51,5.42,5.51,angry,342.0,351.0
42,5.52 - 6.13,5.52,6.13,relax,352.0,373.0
