,video,time_start,time_end,label,start_sec,end_sec
0,face7_01,0.0,0.01,happy,0.0,1.0
1,face7_01,0.11,0.15,angry,11.0,15.0
2,face7_01,0.16,0.17,neutral,16.0,17.0
3,face7_01,0.22,0.29,happy,22.0,29.0
4,face7_01,0.32,0.33,neutral,32.0,33.0
5,face7_01,0.34,0.36,neutral,34.0,36.0
6,face7_01,0.37,0.41,neutral,37.0,41.0
7,face7_01,0.42,0.43,happy,42.0,43.0
8,face7_01,0.48,0.55,angry,48.0,55.0
9,face7_01,0.56,0.57,neutral,56.0,57.0
10,face7_01,0.58,1.0,neutral,58.0,60.0
11,face7_01,1.01,1.02,angry,61.0,62.0
12,face7_01,1.03,1.05,angry,63.0,65.0
13,face7_01,1.06,1.14,neutral,66.0,74.0
14,face7_01,1.15,1.16,happy,75.0,76.0
15,face7_01,1.17,1.18,neutral,77.0,78.0
16,face7_01,1.19,1.22,happy,79.0,82.0
17,face7_01,1.27,1.29,relax,87.0,89.0
18,face7_01,1.03,1.32,angry,63.0,92.0
19,face7_01,1.33,1.39,neutral,93.0,99.0
20,face7_01,1.44,1.48,angry,104.0,108.0
21,face7_01,1.49,1.51,angry,109.0,111.0
22,face7_01,1.51,1.54,happy,111.0,114.0
23,face7_01,1.58,2.0,happy,118.0,120.0
24,face7_01,2.03,2.06,happy,123.0,126.0
25,face7_01,2.11,2.17,angry,131.0,137.0
26,face7_01,2.02,2.21,happy,122.0,141.0
27,face7_01,2.25,2.29,relax,145.0,149.0
28,face7_01,2.03,2.31,happy,123.0,151.0
29,face7_01,2.32,2.36,angry,152.0,156.0
30,face7_01,2.39,2.47,neutral,159.0,167.0
31,face7_01,2.48,2.49,angry,168.0,169.0
32,face7_01,2.05,2.52,happy,125.0,172.0
33,face7_01,2.53,2.54,angry,173.0,174.0
34,face7_01,2.55,2.56,angry,175.0,176.0
35,face7_01,2.57,3.02,angry,177.0,182.0
36,face7_01,3.03,3.18,neutral,183.0,198.0
37,face7_01,3.21,3.23,neutral,201.0,203.0
38,face7_01,3.24,3.25,angry,204.0,205.0
39,face7_01,3.29,3.31,neutral,209.0,211.0
40,face7_01,3.34,3.36,neutral,214.0,216.0
41,face7_01,3.04,3.41,happy,184.0,221.0
42,face7_01,3.42,3.46,happy,222.0,226.0
43,face7_01,3.47,3.49,neutral,227.0,229.0
44,face7_01,3.05,3.53,angry,185.0,233.0
45,face7_01,3.54,3.55,angry,234.0,235.0
46,face7_01,3.56,3.59,neutral,236.0,239.0
47,face7_01,4.0,4.03,angry,240.0,243.0
48,face7_01,4.04,4.05,relax,244.0,245.0
49,face7_01,4.06,4.09,angry,246.0,249.0
50,face7_01,4.01,4.11,neutral,241.0,251.0
51,face7_01,4.12,4.13,neutral,252.0,253.0
52,face7_01,4.14,4.22,angry,254.0,262.0
53,face7_01,4.23,4.43,angry,263.0,283.0
54,face7_01,4.44,4.49,happy,284.0,289.0
55,face7_01,4.05,4.52,neutral,245.0,292.0
56,face7_01,4.53,4.58,angry,293.0,298.0
57,face7_01,4.59,5.01,neutral,299.0,301.0
58,face7_01,5.06,5.09,angry,306.0,309.0
59,face7_01,5.01,5.11,neutral,301.0,311.0
60,face7_01,5.12,5.24,angry,312.0,324.0
61,face7_01,5.25,5.27,relax,325.0,327.0
62,face7_01,5.03,5.39,relax,303.0,339.0
63,face7_01,5.04,5.42,neutral,304.0,342.0
64,face7_01,5.43,5.45,neutral,343.0,345.0
65,face7_01,5.46,5.53,relax,346.0,353.0
66,face7_01,5.56,6.02,angry,356.0,362.0
67,face7_01,6.03,6.06,neutral,363.0,366.0
68,face7_01,6.07,6.19,angry,367.0,379.0
69,face7_01,6.22,6.23,happy,382.0,383.0
70,face7_01,6.24,6.27,relax,384.0,387.0
71,face7_01,6.03,6.31,neutral,363.0,391.0
