,Time,label,start,end,start_sec,end_sec
0,0.10 - 0.13,sad,0.10,0.13,10.0,13.0
1,0.22 - 0.23,sad,0.22,0.23,22.0,23.0
2,0.28 - 0.29,sad,0.28,0.29,28.0,29.0
3,0.35 - 0.43,angry,0.35,0.43,35.0,43.0
4,0.46 - 0.50,sad,0.46,0.50,46.0,50.0
5,0.57 - 0.58,neutral,0.57,0.58,57.0,58.0
6,1.03 - 1.04,neutral,1.03,1.04,63.0,64.0
7,1.11 - 1.12,neutral,1.11,1.12,71.0,72.0
8,1.17 - 1.19,neutral,1.17,1.19,77.0,79.0
9,1.20 - 1.22,sad,1.20,1.22,80.0,82.0
10,1.26 - 1.29,sad,1.26,1.29,86.0,89.0
11,1.33 - 1.37,angry,1.33,1.37,93.0,97.0
12,2.04 - 2.05,sad,2.04,2.05,124.0,125.0
13,2.05 - 2.11,angry,2.05,2.11,125.0,131.0
14,2.12 - 2.15,sad,2.12,2.15,132.0,135.0
15,2.16 - 2.22,angry,2.16,2.22,136.0,142.0
16,2.23 - 2.50,sad,2.23,2.50,143.0,170.0
17,2.57 - 3.14,angry,2.57,3.14,177.0,194.0
18,3.18 - 3.19,angry,3.18,3.19,198.0,199.0
19,3.48 - 3.50,angry,3.48,3.50,228.0,230.0
20,4.02 - 4.10,sad,4.02,4.10,242.0,250.0
21,4.11 - 4.14,sad,4.11,4.14,251.0,254.0
22,4.31 - 4.34,sad,4.31,4.34,271.0,274.0
23,4.43 - 4.51,sad,4.43,4.51,283.0,291.0
24,4.51 - 5.07,sad,4.51,5.07,291.0,307.0
25,5.21 - 6.21,sad,5.21,6.21,321.0,381.0
26,6.25 - 6.37,sad,6.25,6.37,385.0,397.0
27,6.50 - 6.51,relax,6.50,6.51,410.0,411.0
28,6.51 - 6.55,sad,6.51,6.55,411.0,415.0
29,8.01 - 8.04,sad,8.01,8.04,481.0,484.0
30,8.05 - 8.13,relax,8.05,8.13,485.0,493.0
31,8.13 - 8.14,neutral,8.13,8.14,493.0,494.0
32,8.26 - 8.35,neutral,8.26,8.35,506.0,515.0
33,8.48 - 8.49,relax,8.48,8.49,528.0,529.0
34,9.06 - 9.09,happy,9.06,9.09,546.0,549.0
35,10.13 - 10.23,neutral,10.13,10.23,613.0,623.0
36,10.29 - 10.30,neutral,10.29,10.30,629.0,630.0
37,10.48 - 10.52,neutral,10.48,10.52,648.0,652.0
38,10.55 - 11.01,neutral,10.55,11.01,655.0,661.0
39,11.09 - 11.16,neutral,11.09,11.16,669.0,676.0
40,11.18 - 11.19,sad,11.18,11.19,678.0,679.0
41,11.22 - 11.33,neutral,11.22,11.33,682.0,693.0
42,11.33 - 11.35,sad,11.33,11.35,693.0,695.0
43,11.36 - 11.39,neutral,11.36,11.39,696.0,699.0
44,11.40 - 11.42,relax,11.40,11.42,700.0,702.0
45,11.50 - 11.54,neutral,11.50,11.54,710.0,714.0
46,12.00 - 12.04,neutral,12.00,12.04,720.0,724.0
47,12.10 - 12.12,neutral,12.10,12.12,730.0,732.0
48,12.14 - 12.35,neutral,12.14,12.35,734.0,755.0
49,12.44 - 13.36,sad,12.44,13.36,764.0,816.0
50,14.00 - 14.04,sad,14.00,14.04,840.0,844.0
51,14.12 - 14.30,sad,14.12,14.30,852.0,870.0
52,14.38 - 14.41,relax,14.38,14.41,878.0,881.0
53,14.41 - 14.53,neutral,14.41,14.53,881.0,893.0
54,14.55 - 15.00,neutral,14.55,15.00,895.0,900.0
55,15.01 - 15.02,angry,15.01,15.02,901.0,902.0
56,15.03 - 15.04,relax,15.03,15.04,903.0,904.0
57,15.04 - 15.06,angry,15.04,15.06,904.0,906.0
58,15.07 - 15.13,relax,15.07,15.13,907.0,913.0
59,15.14 - 15.16,neutral,15.14,15.16,914.0,916.0
60,15.17 - 15.18,relax,15.17,15.18,917.0,918.0
61,15.19 - 15.20,neutral,15.19,15.20,919.0,920.0
62,15.21 - 15.22,relax,15.21,15.22,921.0,922.0
63,15.23 - 15.33,angry,15.23,15.33,923.0,933.0
64,15.34 - 15.36,relax,15.34,15.36,934.0,936.0
65,15.37 - 15.42,neutral,15.37,15.42,937.0,942.0
66,15.43 - 15.48,happy,15.43,15.48,943.0,948.0
67,15.49 - 15.52,happy,15.49,15.52,949.0,952.0
68,15.53 - 16.04,sad,15.53,16.04,953.0,964.0
69,16.06 - 16.07 ,relax,16.06,16.07,966.0,967.0
70,16.08 - 16.09,happy,16.08,16.09,968.0,969.0
71,16.12 - 16.14,sad,16.12,16.14,972.0,974.0
72,16.19 - 16.58,happy,16.19,16.58,979.0,1018.0
73,16.58 - 17.12,sad,16.58,17.12,1018.0,1032.0
74,17.16 - 17.23,sad,17.16,17.23,1036.0,1043.0
75,17.30 - 17.39,neutral,17.30,17.39,1050.0,1059.0
76,17.46 - 17.57,neutral,17.46,17.57,1066.0,1077.0
77,17.58 - 18.00,sad,17.58,18.00,1078.0,1080.0
78,18.05 - 18.08,happy,18.05,18.08,1085.0,1088.0
