,Time,label,start,end,start_sec,end_sec
0,0.27 - 0.30,neutral,0.27,0.30,27.0,30.0
1,1.56 - 1.57,angry,1.56,1.57,116.0,117.0
2,2.32 - 2.43,sad,2.32,2.43,152.0,163.0
3,2.44 - 2.51,neutral,2.44,2.51,164.0,171.0
4,3.52 - 3.53,neutral,3.52,3.53,232.0,233.0
5,3.54 - 4.00,sad,3.54,4.00,234.0,240.0
6,4.01 - 4.06,angry,4.01,4.06,241.0,246.0
7,4.07 - 4.12,sad,4.07,4.12,247.0,252.0
8,4.16 - 4.18,sad,4.16,4.18,256.0,258.0
9,4.19 - 4.24,relax,4.19,4.24,259.0,264.0
10,4.36 - 4.49,relax,4.36,4.49,276.0,289.0
11,4.50 - 4.51,angry,4.50,4.51,290.0,291.0
12,4.52 - 4.57,relax,4.52,4.57,292.0,297.0
13,5.02 - 5.06,happy,5.02,5.06,302.0,306.0
14,5.07 - 5.10,neutral,5.07,5.10,307.0,310.0
15,5.22 - 5.23,angry,5.22,5.23,322.0,323.0
16,5.24 - 5.48,neutral,5.24,5.48,324.0,348.0
17,5.55 - 6.01,neutral,5.55,6.01,355.0,361.0
18,6.08 - 6.49,neutral,6.08,6.49,368.0,409.0
19,6.50 - 6.53,angry,6.50,6.53,410.0,413.0
20,6.54 - 6.56,neutral,6.54,6.56,414.0,416.0
21,6.57 - 6.58,relax,6.57,6.58,417.0,418.0
22,6.59 - 7.03,neutral,6.59,7.03,419.0,423.0
23,7.04 - 7.07,relax,7.04,7.07,424.0,427.0
24,8.18 - 8.19,sad,8.18,8.19,498.0,499.0
25,8.44 - 8.46,angry,8.44,8.46,524.0,526.0
26,9.01 - 9.07,angry,9.01,9.07,541.0,547.0
27,9.49 - 9.50,sad,9.49,9.50,589.0,590.0
28,9.50 - 10.00,angry,9.50,10.00,590.0,600.0
29,10.02 - 10.05,sad,10.02,10.05,602.0,605.0
30,10.06 - 10.12,sad,10.06,10.12,606.0,612.0
31,10.16 - 10.17,sad,10.16,10.17,616.0,617.0
32,10.18 - 10.23,sad,10.18,10.23,618.0,623.0
33,10.26 - 10.39,sad,10.26,10.39,626.0,639.0
34,11.40 - 11.48,sad,11.40,11.48,700.0,708.0
35,12.01 - 12.06,sad,12.01,12.06,721.0,726.0
36,12.12 - 12.23,sad,12.12,12.23,732.0,743.0
37,12.35 - 12.45,neutral,12.35,12.45,755.0,765.0
38,13.13 - 13.19,sad,13.13,13.19,793.0,799.0
39,13.54 - 14.00,neutral,13.54,14.00,834.0,840.0
40,14.10 - 14.18,neutral,14.10,14.18,850.0,858.0
41,14.20 - 14.25,neutral,14.20,14.25,860.0,865.0
42,14.33 - 14.44,neutral,14.33,14.44,873.0,884.0
43,19.36 - 19.37,sad,19.36,19.37,1176.0,1177.0
44,19.37 - 19.38,happy,19.37,19.38,1177.0,1178.0
45,19.39 - 19.42,angry,19.39,19.42,1179.0,1182.0
46,19.49 - 19.54,neutral,19.49,19.54,1189.0,1194.0
47,19.55 - 19.56,angry,19.55,19.56,1195.0,1196.0
48,20.05 - 20.14,neutral,20.05,20.14,1205.0,1214.0
49,20.20 - 20.21,relax,20.20,20.21,1220.0,1221.0
50,20.21 - 20.22,angry,20.21,20.22,1221.0,1222.0
51,20.25 - 20.26,angry,20.25,20.26,1225.0,1226.0
52,20.27 - 20.29,relax,20.27,20.29,1227.0,1229.0
53,20.31 - 20.36,relax,20.31,20.36,1231.0,1236.0
54,20.37 - 20.48,neutral,20.37,20.48,1237.0,1248.0
55,20.56 - 21.00,neutral,20.56,21.00,1256.0,1260.0
56,21.29 - 21.30,neutral,21.29,21.30,1289.0,1290.0
57,22.04 - 22.08,neutral,22.04,22.08,1324.0,1328.0
58,22.09 - 22.10,relax,22.09,22.10,1329.0,1330.0
59,22.59 - 23.00,neutral,22.59,23.00,1379.0,1380.0
60,23.21 - 23.24,neutral,23.21,23.24,1401.0,1404.0
61,23.25 - 23.31,relax,23.25,23.31,1405.0,1411.0
62,23.32 - 23.42,neutral,23.32,23.42,1412.0,1422.0
63,26.10 - 26.12,angry,26.10,26.12,1570.0,1572.0
64,26.13 - 26.15,neutral,26.13,26.15,1573.0,1575.0
65,26.27 - 26.33,neutral,26.27,26.33,1587.0,1593.0
66,26.34 - 26.36,relax,26.34,26.36,1594.0,1596.0
67,29.44 - 29.48,neutral,29.44,29.48,1784.0,1788.0
68,30.19 - 30.20,neutral,30.19,30.20,1819.0,1820.0
69,32.44 - 32.49,sad,32.44,32.49,1964.0,1969.0
70,32.50 - 32.51,angry,32.50,32.51,1970.0,1971.0
71,32.58 - 33.00,neutral,32.58,33.00,1978.0,1980.0
72,33.01 - 33.03,angry,33.01,33.03,1981.0,1983.0
73,33.06 - 33.13,neutral,33.06,33.13,1986.0,1993.0
74,33.53 - 34.06,neutral,33.53,34.06,2033.0,2046.0
75,34.07 - 34.13,neutral,34.07,34.13,2047.0,2053.0
76,34.34 - 34.43,neutral,34.34,34.43,2074.0,2083.0
77,34.44 - 34.46,relax,34.44,34.46,2084.0,2086.0
78,34.57 - 35.00,relax,34.57,35.00,2097.0,2100.0
79,36.17 - 36.36,neutral,36.17,36.36,2177.0,2196.0
