,Time,time_start,time_end,label,start_sec,end_sec
0,0.36 - 0.37,0.36,0.37,neutral,36.0,37.0
1,0.38- 0.40,0.38,0.41,happy,38.0,41.0
2,0.57 - 0.58,0.57,0.58,happy,57.0,58.0
3,0.59 - 1.03,0.59,1.03,happy,59.0,63.0
4,1.04 - 1.06,1.04,1.06,neutral,64.0,66.0
5,1.16 - 1.17,1.16,1.17,neutral,76.0,77.0
6,1.37 - 1.39,1.37,1.39,happy,97.0,99.0
7,1.50 - 1.51,1.51,1.52,angry,111.0,112.0
8,1.52 - 1.54,1.52,1.54,happy,112.0,114.0
9,1.55 - 2.00,1.55,2.01,neutral,115.0,121.0
10,2.01 - 2.02,2.01,2.02,happy,121.0,122.0
11,2.06 - 2.09,2.06,2.09,happy,126.0,129.0
12,2.12 - 2.13,2.12,2.13,happy,132.0,133.0
13,2.14 - 2.16,2.14,2.16,happy,134.0,136.0
