,video,time_start,time_end,label,start_sec,end_sec
0,face5_02,18.24,18.26,neutral,1104.0,1106.0
1,face5_02,18.34,18.37,happy,1114.0,1117.0
2,face5_02,18.47,19.02,happy,1127.0,1142.0
3,face5_02,19.03,19.08,neutral,1143.0,1148.0
4,face5_02,19.09,19.12,angry,1149.0,1152.0
5,face5_02,19.13,19.23,neutral,1153.0,1163.0
6,face5_02,19.26,19.28,neutral,1166.0,1168.0
7,face5_02,19.29,19.31,angry,1169.0,1171.0
8,face5_02,19.31,19.36,angry,1171.0,1176.0
9,face5_02,19.37,19.39,happy,1177.0,1179.0
10,face5_02,20.04,20.12,happy,1204.0,1212.0
11,face5_02,20.14,20.17,happy,1214.0,1217.0
12,face5_02,20.21,20.27,happy,1221.0,1227.0
13,face5_02,20.28,20.32,neutral,1228.0,1232.0
14,face5_02,20.33,20.37,angry,1233.0,1237.0
15,face5_02,20.38,20.41,neutral,1238.0,1241.0
16,face5_02,20.42,20.47,angry,1242.0,1247.0
17,face5_02,20.48,20.52,happy,1248.0,1252.0
18,face5_02,20.53,20.56,happy,1253.0,1256.0
19,face5_02,20.58,21.08,happy,1258.0,1268.0
20,face5_02,21.11,21.12,happy,1271.0,1272.0
21,face5_02,21.05,22.11,happy,1265.0,1331.0
22,face5_02,22.12,22.15,happy,1332.0,1335.0
23,face5_02,22.26,22.33,relax,1346.0,1353.0
24,face5_02,22.36,22.41,happy,1356.0,1361.0
25,face5_02,22.43,22.45,happy,1363.0,1365.0
26,face5_02,22.55,22.56,happy,1375.0,1376.0
27,face5_02,23.45,23.47,relax,1425.0,1427.0
28,face5_02,23.49,23.51,relax,1429.0,1431.0
29,face5_02,23.5,23.51,relax,1385.0,1431.0
30,face5_02,23.52,23.58,happy,1432.0,1438.0
31,face5_02,24.01,24.04,happy,1441.0,1444.0
32,face5_02,24.05,24.07,neutral,1445.0,1447.0
33,face5_02,24.08,24.14,neutral,1448.0,1454.0
34,face5_02,24.15,24.17,relax,1455.0,1457.0
35,face5_02,24.24,24.35,relax,1464.0,1475.0
36,face5_02,24.37,24.42,angry,1477.0,1482.0
37,face5_02,24.43,24.57,angry,1483.0,1497.0
38,face5_02,25.28,25.33,angry,1528.0,1533.0
39,face5_02,25.36,25.39,angry,1536.0,1539.0
40,face5_02,25.39,25.47,relax,1539.0,1547.0
41,face5_02,25.48,25.49,angry,1548.0,1549.0
42,face5_02,25.05,25.52,happy,1505.0,1552.0
43,face5_02,25.53,26.03,happy,1553.0,1563.0
44,face5_02,26.14,26.21,angry,1574.0,1581.0
45,face5_02,26.22,26.28,happy,1582.0,1588.0
46,face5_02,26.29,26.37,happy,1589.0,1597.0
47,face5_02,26.38,26.42,neutral,1598.0,1602.0
48,face5_02,26.43,26.53,neutral,1603.0,1613.0
49,face5_02,26.54,27.04,angry,1614.0,1624.0
50,face5_02,27.06,27.07,happy,1626.0,1627.0
51,face5_02,27.48,27.51,angry,1668.0,1671.0
52,face5_02,28.34,28.35,relax,1714.0,1715.0
53,face5_02,28.04,28.43,happy,1684.0,1723.0
54,face5_02,29.01,29.02,neutral,1741.0,1742.0
55,face5_02,29.04,29.05,neutral,1744.0,1745.0
56,face5_02,29.06,29.22,neutral,1746.0,1762.0
57,face5_02,29.34,29.35,neutral,1774.0,1775.0
58,face5_02,29.38,29.44,relax,1778.0,1784.0
59,face5_02,29.46,29.51,neutral,1786.0,1791.0
60,face5_02,30.18,30.22,happy,1818.0,1822.0
61,face5_02,30.23,30.25,happy,1823.0,1825.0
62,face5_02,30.26,30.35,relax,1826.0,1835.0
63,face5_02,30.36,30.46,happy,1836.0,1846.0
64,face5_02,30.47,30.48,neutral,1847.0,1848.0
65,face5_02,30.49,30.55,neutral,1849.0,1855.0
66,face5_02,30.55,30.58,neutral,1855.0,1858.0
67,face5_02,31.0,31.05,neutral,1860.0,1865.0
68,face5_02,31.08,31.09,happy,1868.0,1869.0
69,face5_02,31.01,31.15,happy,1861.0,1875.0
70,face5_02,31.16,31.23,happy,1876.0,1883.0
71,face5_02,31.33,31.34,angry,1893.0,1894.0
