Time,label,start,end,start_sec,end_sec,start_frame,end_frame
0.18 - 0.19,neutral,0.18,0.19,18,19,450,475
0.32 - 0.33,neutral,0.32,0.33,32,33,800,825
0.55 - 0.56,sad,0.55,0.56,55,56,1375,1400
0.58 - 1.30,sad,0.58,1.3,58,90,1450,2250
1.30 - 1.35,sad,1.3,1.35,90,95,2250,2375
1.35 - 1.36,neutral,1.35,1.36,95,96,2375,2400
1.38 - 1.39,neutral,1.38,1.39,98,99,2450,2475
1.47 - 1.48,neutral,1.47,1.48,107,108,2675,2700
2.00 - 2.01,neutral,2,2.01,120,121,3000,3025
2.21 - 2.25 ,sad,2.21,2.25,141,145,3525,3625
3.21 - 3.23,neutral,3.21,3.23,201,203,5025,5075
3.24 - 3.25,sad,3.24,3.25,204,205,5100,5125
3.43 - 3.45,neutral,3.43,3.45,223,225,5575,5625
4.09 - 4.10,neutral,4.09,4.1,249,250,6225,6250
4.18 - 4.19,neutral,4.18,4.19,258,259,6450,6475
4.34 - 4.36,neutral,4.34,4.36,274,276,6850,6900
4.43 - 4.44,neutral,4.43,4.44,283,284,7075,7100
4.53 - 4.54,neutral,4.53,4.54,293,294,7325,7350
5.06 - 5.07,neutral,5.06,5.07,306,307,7650,7675
