Time,label,start,end,start_sec,end_sec,start_frame,end_frame
0.10 - 0.13,sad,0.1,0.13,10,13,250,325
0.22 - 0.23,sad,0.22,0.23,22,23,550,575
0.28 - 0.29,sad,0.28,0.29,28,29,700,725
0.35 - 0.43,angry,0.35,0.43,35,43,875,1075
0.46 - 0.50,sad,0.46,0.5,46,50,1150,1250
0.57 - 0.58,neutral,0.57,0.58,57,58,1425,1450
1.03 - 1.04,neutral,1.03,1.04,63,64,1575,1600
1.11 - 1.12,neutral,1.11,1.12,71,72,1775,1800
1.17 - 1.19,neutral,1.17,1.19,77,79,1925,1975
1.20 - 1.22,sad,1.2,1.22,80,82,2000,2050
1.26 - 1.29,sad,1.26,1.29,86,89,2150,2225
1.33 - 1.37,angry,1.33,1.37,93,97,2325,2425
2.04 - 2.05,sad,2.04,2.05,124,125,3100,3125
2.05 - 2.11,angry,2.05,2.11,125,131,3125,3275
2.12 - 2.15,sad,2.12,2.15,132,135,3300,3375
2.16 - 2.22,angry,2.16,2.22,136,142,3400,3550
2.23 - 2.50,sad,2.23,2.5,143,170,3575,4250
2.57 - 3.14,angry,2.57,3.14,177,194,4425,4850
3.18 - 3.19,angry,3.18,3.19,198,199,4950,4975
3.48 - 3.50,angry,3.48,3.5,228,230,5700,5750
4.02 - 4.10,sad,4.02,4.1,242,250,6050,6250
4.11 - 4.14,sad,4.11,4.14,251,254,6275,6350
4.31 - 4.34,sad,4.31,4.34,271,274,6775,6850
4.43 - 4.51,sad,4.43,4.51,283,291,7075,7275
4.51 - 5.07,sad,4.51,5.07,291,307,7275,7675
5.21 - 6.21,sad,5.21,6.21,321,381,8025,9525
6.25 - 6.37,sad,6.25,6.37,385,397,9625,9925
6.50 - 6.51,relax,6.5,6.51,410,411,10250,10275
6.51 - 6.55,sad,6.51,6.55,411,415,10275,10375
8.01 - 8.04,sad,8.01,8.04,481,484,12025,12100
8.05 - 8.13,relax,8.05,8.13,485,493,12125,12325
8.13 - 8.14,neutral,8.13,8.14,493,494,12325,12350
8.26 - 8.35,neutral,8.26,8.35,506,515,12650,12875
8.48 - 8.49,relax,8.48,8.49,528,529,13200,13225
9.06 - 9.09,happy,9.06,9.09,546,549,13650,13725
10.13 - 10.23,neutral,10.13,10.23,613,623,15325,15575
10.29 - 10.30,neutral,10.29,10.3,629,630,15725,15750
10.48 - 10.52,neutral,10.48,10.52,648,652,16200,16300
10.55 - 11.01,neutral,10.55,11.01,655,661,16375,16525
11.09 - 11.16,neutral,11.09,11.16,669,676,16725,16900
11.18 - 11.19,sad,11.18,11.19,678,679,16950,16975
11.22 - 11.33,neutral,11.22,11.33,682,693,17050,17325
11.33 - 11.35,sad,11.33,11.35,693,695,17325,17375
11.36 - 11.39,neutral,11.36,11.39,696,699,17400,17475
11.40 - 11.42,relax,11.4,11.42,700,702,17500,17550
11.50 - 11.54,neutral,11.5,11.54,710,714,17750,17850
12.00 - 12.04,neutral,12,12.04,720,724,18000,18100
12.10 - 12.12,neutral,12.1,12.12,730,732,18250,18300
12.14 - 12.35,neutral,12.14,12.35,734,755,18350,18875
12.44 - 13.36,sad,12.44,13.36,764,816,19100,20400
14.00 - 14.04,sad,14,14.04,840,844,21000,21100
14.12 - 14.30,sad,14.12,14.3,852,870,21300,21750
14.38 - 14.41,relax,14.38,14.41,878,881,21950,22025
14.41 - 14.53,neutral,14.41,14.53,881,893,22025,22325
14.55 - 15.00,neutral,14.55,15,895,900,22375,22500
15.01 - 15.02,angry,15.01,15.02,901,902,22525,22550
15.03 - 15.04,relax,15.03,15.04,903,904,22575,22600
15.04 - 15.06,angry,15.04,15.06,904,906,22600,22650
15.07 - 15.13,relax,15.07,15.13,907,913,22675,22825
15.14 - 15.16,neutral,15.14,15.16,914,916,22850,22900
15.17 - 15.18,relax,15.17,15.18,917,918,22925,22950
15.19 - 15.20,neutral,15.19,15.2,919,920,22975,23000
15.21 - 15.22,relax,15.21,15.22,921,922,23025,23050
15.23 - 15.33,angry,15.23,15.33,923,933,23075,23325
15.34 - 15.36,relax,15.34,15.36,934,936,23350,23400
15.37 - 15.42,neutral,15.37,15.42,937,942,23425,23550
15.43 - 15.48,happy,15.43,15.48,943,948,23575,23700
15.49 - 15.52,happy,15.49,15.52,949,952,23725,23800
15.53 - 16.04,sad,15.53,16.04,953,964,23825,24100
16.06 - 16.07 ,relax,16.06,16.07,966,967,24150,24175
16.08 - 16.09,happy,16.08,16.09,968,969,24200,24225
16.12 - 16.14,sad,16.12,16.14,972,974,24300,24350
16.19 - 16.58,happy,16.19,16.58,979,1018,24475,25450
16.58 - 17.12,sad,16.58,17.12,1018,1032,25450,25800
17.16 - 17.23,sad,17.16,17.23,1036,1043,25900,26075
17.30 - 17.39,neutral,17.3,17.39,1050,1059,26250,26475
17.46 - 17.57,neutral,17.46,17.57,1066,1077,26650,26925
17.58 - 18.00,sad,17.58,18,1078,1080,26950,27000
18.05 - 18.08,happy,18.05,18.08,1085,1088,27125,27200
