Time,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0.10 - 0.15,0.1,0.15,happy,1,15,25,375
0.16 - 0.22,0.16,0.22,happy,16,22,400,550
0.23 - 0.26,0.23,0.26,relax,23,26,575,650
0.27-0.31,0.27,0.31,neutral,27,31,675,775
0.36-0.50,0.36,0.51,neutral,36,51,900,1275
0.51 - 1.00,0.51,1,relax,51,60,1275,1500
1.01 - 1.03 ,1.01,1.03,neutral,61,63,1525,1575
1.04 - 1.05,1.04,1.05,neutral,64,65,1600,1625
1.13-1.14,1.13,1.14,relax,73,74,1825,1850
1.15-1.16,1.15,1.16,neutral,75,76,1875,1900
1.17 - 1.36,1.17,1.36,happy,77,96,1925,2400
1.37-1.41,1.37,1.41,angry,97,101,2425,2525
1.42-1.48,1.42,1.48,relax,102,108,2550,2700
1.49-1.52,1.49,1.52,angry,109,112,2725,2800
1.56-2.10,1.56,2.1,neutral,116,121,2900,3025
2.11 - 2.18,2.11,2.18,angry,131,138,3275,3450
2.19-2.22,2.19,2.22,neutral,139,142,3475,3550
2.23 - 2.26,2.23,2.26,sad,143,146,3575,3650
2.31-2.32,2.31,2.32,sad,151,152,3775,3800
2.33-2.44,2.33,2.44,angry,153,164,3825,4100
2.45-2.47,2.45,2.47,relax,165,167,4125,4175
2.51-2.52,2.51,2.52,neutral,171,172,4275,4300
3.08-3.10,3.08,3.11,angry,188,191,4700,4775
3.11-3.14,3.11,3.14,neutral,191,194,4775,4850
3.18-3.25,3.18,3.25,neutral,198,205,4950,5125
3.26 - 3.27,3.26,3.27,neutral,206,207,5150,5175
3.28 - 3.32,3.28,3.32,angry,208,212,5200,5300
3.33 - 3.51,3.33,3.51,angry,213,231,5325,5775
3.54-3.58,3.54,3.58,angry,234,238,5850,5950
4.01 - 4.05,4.01,4.05,relax,241,245,6025,6125
4.06 - 4.11,4.06,4.11,angry,246,251,6150,6275
4:16 - 4.21,0.18,4.21,neutral,18,261,450,6525
4.22-4.24,4.22,4.24,angry,262,264,6550,6600
4.31-4.32,4.31,4.32,relax,271,272,6775,6800
4.33 - 4.39,4.33,4.39,angry,273,279,6825,6975
4.40-4.42,4.4,4.42,sad,244,282,6100,7050
4.43 - 4.45,4.43,4.45,sad,283,285,7075,7125
4.46 - 5.01,4.46,5.01,sad,286,301,7150,7525
5.27 - 5.31,5.27,5.31,happy,327,331,8175,8275
5.32-5.36,5.32,5.36,neutral,332,336,8300,8400
5.37-5.41,5.37,5.41,happy,337,341,8425,8525
5.42 - 5.51,5.42,5.51,angry,342,351,8550,8775
5.52 - 6.13,5.52,6.13,relax,352,373,8800,9325
