video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face5_01,0.01,0.15,happy,1,15,50,750
face5_01,0.16,0.19,relax,16,19,800,950
face5_01,0.02,0.29,happy,2,29,100,1450
face5_01,0.03,0.45,relax,3,45,150,2250
face5_01,0.46,0.48,relax,46,48,2300,2400
face5_01,0.49,1.22,relax,49,82,2450,4100
face5_01,1.23,1.26,relax,83,86,4150,4300
face5_01,1.27,1.33,happy,87,93,4350,4650
face5_01,1.34,1.38,relax,94,98,4700,4900
face5_01,1.39,1.41,relax,99,101,4950,5050
face5_01,1.41,1.44,happy,101,104,5050,5200
face5_01,1.45,1.48,relax,105,108,5250,5400
face5_01,1.49,1.56,angry,109,116,5450,5800
face5_01,1.57,1.58,happy,117,118,5850,5900
face5_01,2,2.03,angry,120,123,6000,6150
face5_01,2.04,2.05,relax,124,125,6200,6250
face5_01,2.06,2.07,relax,126,127,6300,6350
face5_01,2.08,2.15,relax,128,135,6400,6750
face5_01,2.16,2.24,angry,136,144,6800,7200
face5_01,2.25,2.31,happy,145,151,7250,7550
face5_01,2.31,2.36,relax,151,156,7550,7800
face5_01,2.37,2.41,sad,157,161,7850,8050
face5_01,2.42,2.46,neutral,162,166,8100,8300
face5_01,2.47,2.49,angry,167,169,8350,8450
face5_01,2.05,2.51,happy,125,171,6250,8550
face5_01,2.51,2.59,sad,171,179,8550,8950
face5_01,3,3.04,neutral,180,184,9000,9200
face5_01,3.09,3.16,happy,189,196,9450,9800
face5_01,3.17,3.18,neutral,197,198,9850,9900
face5_01,3.18,3.19,happy,198,199,9900,9950
face5_01,3.02,3.26,neutral,182,206,9100,10300
face5_01,3.27,3.28,happy,207,208,10350,10400
face5_01,3.28,3.35,sad,208,215,10400,10750
face5_01,3.36,3.41,angry,216,221,10800,11050
face5_01,3.42,3.45,angry,222,225,11100,11250
face5_01,3.46,3.49,angry,226,229,11300,11450
face5_01,3.54,3.59,relax,234,239,11700,11950
face5_01,4,4.01,angry,240,241,12000,12050
face5_01,4.01,4.13,angry,241,253,12050,12650
face5_01,4.14,4.23,sad,254,263,12700,13150
face5_01,4.24,4.25,angry,264,265,13200,13250
face5_01,4.25,4.26,angry,265,266,13250,13300
face5_01,4.27,4.29,angry,267,269,13350,13450
face5_01,4.03,4.32,neutral,243,272,12150,13600
face5_01,4.33,4.35,neutral,273,275,13650,13750
face5_01,4.36,4.41,relax,276,281,13800,14050
face5_01,4.42,4.47,neutral,282,287,14100,14350
face5_01,4.48,4.51,happy,288,291,14400,14550
face5_01,4.52,4.55,neutral,292,295,14600,14750
face5_01,4.56,4.58,relax,296,298,14800,14900
face5_01,4.59,5.02,neutral,299,302,14950,15100
face5_01,5.06,5.07,neutral,306,307,15300,15350
face5_01,5.01,5.11,angry,301,311,15050,15550
face5_01,5.11,5.15,neutral,311,315,15550,15750
face5_01,5.16,5.17,neutral,316,317,15800,15850
face5_01,5.17,5.19,angry,317,319,15850,15950
face5_01,5.02,5.26,angry,302,326,15100,16300
face5_01,5.27,5.29,angry,327,329,16350,16450
face5_01,5.35,5.36,angry,335,336,16750,16800
face5_01,5.36,5.37,angry,336,337,16800,16850
face5_01,5.38,5.41,angry,338,341,16900,17050
face5_01,5.41,5.42,angry,341,342,17050,17100
face5_01,5.42,5.49,angry,342,349,17100,17450
face5_01,5.05,6.01,angry,305,361,15250,18050
face5_01,6.04,6.32,angry,364,392,18200,19600
face5_01,6.33,6.34,relax,393,394,19650,19700
face5_01,6.35,6.36,angry,395,396,19750,19800
face5_01,6.36,6.53,angry,396,413,19800,20650
face5_01,6.54,7.12,happy,414,432,20700,21600
face5_01,7.13,7.21,neutral,433,441,21650,22050
face5_01,7.35,7.37,sad,455,457,22750,22850
face5_01,7.38,7.39,angry,458,459,22900,22950
face5_01,7.41,7.42,angry,461,462,23050,23100
face5_01,7.43,7.45,relax,463,465,23150,23250
face5_01,7.54,7.56,angry,474,476,23700,23800
face5_01,7.57,7.58,neutral,477,478,23850,23900
face5_01,7.59,8,neutral,479,480,23950,24000
face5_01,8.06,8.09,neutral,486,489,24300,24450
face5_01,8.01,8.11,neutral,481,491,24050,24550
face5_01,8.12,8.19,neutral,492,499,24600,24950
face5_01,8.02,8.23,angry,482,503,24100,25150
face5_01,8.24,8.25,angry,504,505,25200,25250
face5_01,8.29,8.32,angry,509,512,25450,25600
face5_01,8.36,8.38,angry,516,518,25800,25900
face5_01,8.39,8.42,neutral,519,522,25950,26100
face5_01,8.43,8.44,angry,523,524,26150,26200
face5_01,8.45,8.46,sad,525,526,26250,26300
face5_01,8.47,8.51,angry,527,531,26350,26550
face5_01,8.52,8.58,relax,532,538,26600,26900
face5_01,8.59,9.01,angry,539,541,26950,27050
