,video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
0,face9_2,0.12,0.24,relax,12.0,24.0,600,1200
1,face9_2,0.25,0.27,relax,25.0,27.0,1250,1350
2,face9_2,0.41,0.47,neutral,41.0,47.0,2050,2350
3,face9_2,0.48,1.07,angry,48.0,67.0,2400,3350
4,face9_2,1.08,1.28,relax,68.0,88.0,3400,4400
5,face9_2,1.34,2.0,happy,94.0,120.0,4700,6000
6,face9_2,2.09,2.14,relax,129.0,134.0,6450,6700
7,face9_2,2.15,2.17,happy,135.0,137.0,6750,6850
8,face9_2,2.18,2.22,happy,138.0,142.0,6900,7100
9,face9_2,2.29,2.31,relax,149.0,151.0,7450,7550
10,face9_2,2.32,2.35,happy,152.0,155.0,7600,7750
11,face9_2,2.36,2.38,relax,156.0,158.0,7800,7900
12,face9_2,2.39,2.48,happy,159.0,168.0,7950,8400
13,face9_2,3.08,3.11,relax,188.0,191.0,9400,9550
14,face9_2,3.12,3.43,neutral,192.0,223.0,9600,11150
15,face9_2,3.44,3.45,angry,224.0,225.0,11200,11250
16,face9_2,3.46,3.57,neutral,226.0,237.0,11300,11850
17,face9_2,3.58,4.0,relax,238.0,240.0,11900,12000
18,face9_2,4.07,4.11,neutral,247.0,251.0,12350,12550
19,face9_2,4.23,4.28,relax,263.0,268.0,13150,13400
20,face9_2,4.29,4.32,happy,269.0,272.0,13450,13600
