video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face9_5,0.05,0.09,neutral,5,9,125,225
face9_5,1.58,1.59,stress,118,119,2950,2975
face9_5,2,2.01,neutral,120,121,3000,3025
face9_5,2.02,2.03,relax,122,123,3050,3075
face9_5,2.04,2.05,relax,124,125,3100,3125
face9_5,2.06,2.08,relax,126,128,3150,3200
face9_5,2.09,2.11,neutral,129,131,3225,3275
face9_5,2.12,2.17,relax,132,137,3300,3425
face9_5,2.58,2.59,relax,178,179,4450,4475
face9_5,3.04,3.08,happy,184,188,4600,4700
face9_5,3.12,3.16,relax,192,196,4800,4900
face9_5,3.03,3.31,relax,183,211,4575,5275
face9_5,3.32,3.34,relax,212,214,5300,5350
face9_5,3.39,3.42,neutral,219,222,5475,5550
face9_5,3.46,3.47,happy,226,227,5650,5675
face9_5,3.48,3.49,relax,228,229,5700,5725
face9_5,3.51,4.25,stress,231,265,5775,6625
face9_5,4.29,4.33,relax,269,273,6725,6825
face9_5,4.34,4.38,relax,274,278,6850,6950
face9_5,4.39,4.44,happy,279,284,6975,7100
face9_5,5.07,5.09,happy,307,309,7675,7725
face9_5,5.39,5.04,stress,339,304,8475,7600
