video,time_start,time_end,label
face10_01,0.00,0.04,sad
face10_01,0.05,0.09,sad
face10_01,0.01,0.15,sad
face10_01,0.27,0.33,neutral
face10_01,0.38,0.04,stress
face10_01,0.57,0.58,relax
face10_01,0.59,1.01,happy
face10_01,1.02,1.07,neutral
face10_01,1.08,1.14,neutral
face10_01,1.15,1.16,neutral
face10_01,1.17,1.25,neutral
face10_01,1.26,1.32,neutral
face10_01,1.33,1.35,neutral
face10_01,2.01,2.15,angry
face10_01,2.25,2.03,stress
face10_01,2.36,2.04,stress
face10_01,3.01,3.07,neutral
face10_01,3.08,3.11,neutral
face10_01,3.25,3.36,stress
face10_01,3.37,3.42,stress
face10_01,3.46,3.57,stress
face10_01,3.55,3.58,stress
face10_01,3.58,3.59,relax
face10_01,4.13,4.14,neutral
face10_01,4.36,4.39,neutral
face10_01,4.04,4.43,neutral
face10_01,4.49,4.53,angry
face10_01,4.55,4.56,neutral
face10_01,4.57,5.00,neutral
face10_01,5.00,5.01,relax
face10_01,5.02,5.01,neutral
face10_01,5.16,5.18,neutral
face10_01,5.19,5.02,sad
face10_01,5.25,5.26,happy
face10_01,6.13,6.14,relax
face10_01,6.02,6.23,relax
face10_01,6.24,6.28,relax
face10_01,6.29,6.31,happy
face10_01,6.32,6.35,neutral
face10_01,6.39,6.04,relax
face10_01,6.41,6.46,relax
face10_01,6.47,6.48,relax
face10_01,6.49,6.05,relax
face10_01,6.51,6.53,neutral
face10_01,7.03,7.04,stress
face10_01,7.05,7.07,neutral
face10_01,7.08,7.15,angry
face10_01,7.16,7.19,angry
face10_01,7.32,7.37,neutral
face10_01,7.52,8.04,neutral
face10_01,8.09,8.13,stress
face10_01,8.25,8.26,stress
face10_01,8.41,8.43,stress
face10_01,8.44,8.45,stress
face10_01,8.46,8.49,happy
face10_01,8.05,8.52,relax
face10_01,9.13,9.16,relax
face10_01,9.17,9.18,sad
face10_01,9.19,9.22,happy
face10_01,9.38,9.04,angry
face10_01,10.08,10.11,stress
face10_01,10.26,10.33,stress
face10_01,10.43,11.45,happy
face10_01,10.46,11.51,happy
face10_01,10.52,10.57,happy
face10_01,10.58,11.04,happy
face10_01,11.05,11.12,happy
face10_01,11.13,11.02,happy
face10_01,11.26,11.31,happy
face10_01,11.32,11.34,happy
face10_01,11.35,11.37,happy
face10_01,11.38,11.41,sad
face10_01,11.42,12.05,sad
face10_01,12.11,12.13,neutral
face10_01,12.28,12.32,happy
face10_01,12.33,12.39,neutral
face10_01,12.45,12.46,happy
face10_01,12.54,13.04,angry
face10_01,13.08,13.01,stress
face10_01,13.16,13.22,stress
face10_01,13.28,13.32,stress
face10_01,13.36,13.04,stress
face10_01,14.00,14.11,stress
face10_01,14.03,14.05,stress
face10_01,14.12,14.16,relax
face10_01,14.17,14.21,happy
face10_01,14.22,14.38,sad
face10_01,14.39,14.48,sad
face10_01,14.49,14.51,happy
face10_01,14.52,14.53,happy
face10_01,17.55,18.02,neutral
