video,time_start,time_end,label,start_sec,end_sec,start_frame,end_frame
face5_02,18.24,18.26,neutral,1104,1106,66240,66360
face5_02,18.34,18.37,happy,1114,1117,66840,67020
face5_02,18.47,19.02,happy,1127,1142,67620,68520
face5_02,19.03,19.08,neutral,1143,1148,68580,68880
face5_02,19.09,19.12,stress,1149,1152,68940,69120
face5_02,19.13,19.23,neutral,1153,1163,69180,69780
face5_02,19.26,19.28,neutral,1166,1168,69960,70080
face5_02,19.29,19.31,stress,1169,1171,70140,70260
face5_02,19.31,19.36,stress,1171,1176,70260,70560
face5_02,19.37,19.39,happy,1177,1179,70620,70740
face5_02,20.04,20.12,happy,1204,1212,72240,72720
face5_02,20.14,20.17,happy,1214,1217,72840,73020
face5_02,20.21,20.27,happy,1221,1227,73260,73620
face5_02,20.28,20.32,neutral,1228,1232,73680,73920
face5_02,20.33,20.37,stress,1233,1237,73980,74220
face5_02,20.38,20.41,neutral,1238,1241,74280,74460
face5_02,20.42,20.47,stress,1242,1247,74520,74820
face5_02,20.48,20.52,happy,1248,1252,74880,75120
face5_02,20.53,20.56,happy,1253,1256,75180,75360
face5_02,20.58,21.08,happy,1258,1268,75480,76080
face5_02,21.11,21.12,happy,1271,1272,76260,76320
face5_02,21.05,22.11,happy,1265,1331,75900,79860
face5_02,22.12,22.15,happy,1332,1335,79920,80100
face5_02,22.26,22.33,relax,1346,1353,80760,81180
face5_02,22.36,22.41,happy,1356,1361,81360,81660
face5_02,22.43,22.45,happy,1363,1365,81780,81900
face5_02,22.55,22.56,happy,1375,1376,82500,82560
face5_02,23.45,23.47,relax,1425,1427,85500,85620
face5_02,23.49,23.51,relax,1429,1431,85740,85860
face5_02,23.5,23.51,relax,1385,1431,83100,85860
face5_02,23.52,23.58,happy,1432,1438,85920,86280
face5_02,24.01,24.04,happy,1441,1444,86460,86640
face5_02,24.05,24.07,neutral,1445,1447,86700,86820
face5_02,24.08,24.14,neutral,1448,1454,86880,87240
face5_02,24.15,24.17,relax,1455,1457,87300,87420
face5_02,24.24,24.35,relax,1464,1475,87840,88500
face5_02,24.37,24.42,stress,1477,1482,88620,88920
face5_02,24.43,24.57,stress,1483,1497,88980,89820
face5_02,25.28,25.33,stress,1528,1533,91680,91980
face5_02,25.36,25.39,stress,1536,1539,92160,92340
face5_02,25.39,25.47,relax,1539,1547,92340,92820
face5_02,25.48,25.49,stress,1548,1549,92880,92940
face5_02,25.05,25.52,happy,1505,1552,90300,93120
face5_02,25.53,26.03,happy,1553,1563,93180,93780
face5_02,26.14,26.21,angry,1574,1581,94440,94860
face5_02,26.22,26.28,happy,1582,1588,94920,95280
face5_02,26.29,26.37,happy,1589,1597,95340,95820
face5_02,26.38,26.42,neutral,1598,1602,95880,96120
face5_02,26.43,26.53,neutral,1603,1613,96180,96780
face5_02,26.54,27.04,stress,1614,1624,96840,97440
face5_02,27.06,27.07,happy,1626,1627,97560,97620
face5_02,27.48,27.51,stress,1668,1671,100080,100260
face5_02,28.34,28.35,relax,1714,1715,102840,102900
face5_02,28.04,28.43,happy,1684,1723,101040,103380
face5_02,29.01,29.02,neutral,1741,1742,104460,104520
face5_02,29.04,29.05,neutral,1744,1745,104640,104700
face5_02,29.06,29.22,neutral,1746,1762,104760,105720
face5_02,29.34,29.35,neutral,1774,1775,106440,106500
face5_02,29.38,29.44,relax,1778,1784,106680,107040
face5_02,29.46,29.51,neutral,1786,1791,107160,107460
face5_02,30.18,30.22,happy,1818,1822,109080,109320
face5_02,30.23,30.25,happy,1823,1825,109380,109500
face5_02,30.26,30.35,relax,1826,1835,109560,110100
face5_02,30.36,30.46,happy,1836,1846,110160,110760
face5_02,30.47,30.48,neutral,1847,1848,110820,110880
face5_02,30.49,30.55,neutral,1849,1855,110940,111300
face5_02,30.55,30.58,neutral,1855,1858,111300,111480
face5_02,31,31.05,neutral,1860,1865,111600,111900
face5_02,31.08,31.09,happy,1868,1869,112080,112140
face5_02,31.01,31.15,happy,1861,1875,111660,112500
face5_02,31.16,31.23,happy,1876,1883,112560,112980
face5_02,31.33,31.34,stress,1893,1894,113580,113640
