,label_data_team,img_url_data_team,label_psy_team,img_url_psy_team
frame_000000.PNG,positive-active,frame_000000.PNG,positive-active,frame_000000.PNG
frame_000001.PNG,positive-active,frame_000001.PNG,positive-active,frame_000001.PNG
frame_000002.PNG,positive-active,frame_000002.PNG,positive-active,frame_000002.PNG
frame_000003.PNG,positive-active,frame_000003.PNG,positive-active,frame_000003.PNG
frame_000004.PNG,positive-active,frame_000004.PNG,positive-active,frame_000004.PNG
frame_000005.PNG,positive-active,frame_000005.PNG,positive-deactive,frame_000005.PNG
frame_000006.PNG,positive-active,frame_000006.PNG,positive-deactive,frame_000006.PNG
frame_000007.PNG,positive-deactive,frame_000007.PNG,positive-deactive,frame_000007.PNG
frame_000008.PNG,positive-deactive,frame_000008.PNG,positive-deactive,frame_000008.PNG
frame_000009.PNG,positive-deactive,frame_000009.PNG,negative-deactive,frame_000009.PNG
frame_000010.PNG,positive-deactive,frame_000010.PNG,negative-deactive,frame_000010.PNG
frame_000011.PNG,positive-deactive,frame_000011.PNG,negative-deactive,frame_000011.PNG
frame_000012.PNG,positive-deactive,frame_000012.PNG,negative-deactive,frame_000012.PNG
frame_000013.PNG,positive-deactive,frame_000013.PNG,negative-deactive,frame_000013.PNG
frame_000014.PNG,positive-deactive,frame_000014.PNG,negative-deactive,frame_000014.PNG
frame_000015.PNG,positive-deactive,frame_000015.PNG,negative-deactive,frame_000015.PNG
frame_000016.PNG,positive-deactive,frame_000016.PNG,negative-deactive,frame_000016.PNG
frame_000017.PNG,positive-deactive,frame_000017.PNG,negative-deactive,frame_000017.PNG
frame_000018.PNG,positive-deactive,frame_000018.PNG,negative-deactive,frame_000018.PNG
frame_000019.PNG,positive-deactive,frame_000019.PNG,negative-deactive,frame_000019.PNG
frame_000020.PNG,positive-deactive,frame_000020.PNG,negative-deactive,frame_000020.PNG
frame_000021.PNG,negative-deactive,frame_000021.PNG,negative-deactive,frame_000021.PNG
frame_000022.PNG,negative-deactive,frame_000022.PNG,negative-deactive,frame_000022.PNG
frame_000023.PNG,negative-deactive,frame_000023.PNG,negative-deactive,frame_000023.PNG
frame_000024.PNG,neutral,frame_000024.PNG,negative-deactive,frame_000024.PNG
frame_000025.PNG,neutral,frame_000025.PNG,negative-deactive,frame_000025.PNG
frame_000026.PNG,neutral,frame_000026.PNG,negative-deactive,frame_000026.PNG
frame_000027.PNG,neutral,frame_000027.PNG,negative-deactive,frame_000027.PNG
frame_000028.PNG,neutral,frame_000028.PNG,negative-deactive,frame_000028.PNG
frame_000029.PNG,neutral,frame_000029.PNG,negative-deactive,frame_000029.PNG
frame_000030.PNG,neutral,frame_000030.PNG,negative-deactive,frame_000030.PNG
frame_000031.PNG,neutral,frame_000031.PNG,negative-deactive,frame_000031.PNG
frame_000032.PNG,neutral,frame_000032.PNG,negative-deactive,frame_000032.PNG
frame_000033.PNG,neutral,frame_000033.PNG,negative-deactive,frame_000033.PNG
frame_000034.PNG,neutral,frame_000034.PNG,negative-deactive,frame_000034.PNG
frame_000035.PNG,neutral,frame_000035.PNG,negative-deactive,frame_000035.PNG
frame_000036.PNG,neutral,frame_000036.PNG,negative-deactive,frame_000036.PNG
frame_000037.PNG,neutral,frame_000037.PNG,negative-deactive,frame_000037.PNG
frame_000038.PNG,neutral,frame_000038.PNG,negative-deactive,frame_000038.PNG
frame_000039.PNG,positive-deactive,frame_000039.PNG,negative-deactive,frame_000039.PNG
frame_000040.PNG,positive-deactive,frame_000040.PNG,negative-deactive,frame_000040.PNG
frame_000041.PNG,positive-deactive,frame_000041.PNG,negative-deactive,frame_000041.PNG
frame_000042.PNG,positive-deactive,frame_000042.PNG,negative-deactive,frame_000042.PNG
frame_000043.PNG,positive-deactive,frame_000043.PNG,negative-deactive,frame_000043.PNG
frame_000047.PNG,positive-deactive,frame_000047.PNG,positive-deactive,frame_000047.PNG
frame_000048.PNG,positive-deactive,frame_000048.PNG,positive-deactive,frame_000048.PNG
frame_000049.PNG,positive-deactive,frame_000049.PNG,positive-deactive,frame_000049.PNG
frame_000050.PNG,positive-deactive,frame_000050.PNG,positive-deactive,frame_000050.PNG
frame_000051.PNG,positive-deactive,frame_000051.PNG,negative-deactive,frame_000051.PNG
frame_000052.PNG,positive-deactive,frame_000052.PNG,negative-deactive,frame_000052.PNG
frame_000053.PNG,positive-deactive,frame_000053.PNG,negative-deactive,frame_000053.PNG
frame_000054.PNG,positive-deactive,frame_000054.PNG,negative-deactive,frame_000054.PNG
frame_000055.PNG,positive-deactive,frame_000055.PNG,negative-deactive,frame_000055.PNG
frame_000056.PNG,positive-deactive,frame_000056.PNG,negative-deactive,frame_000056.PNG
frame_000057.PNG,positive-deactive,frame_000057.PNG,negative-deactive,frame_000057.PNG
frame_000058.PNG,positive-deactive,frame_000058.PNG,negative-deactive,frame_000058.PNG
frame_000059.PNG,positive-deactive,frame_000059.PNG,negative-deactive,frame_000059.PNG
frame_000060.PNG,positive-deactive,frame_000060.PNG,negative-deactive,frame_000060.PNG
frame_000061.PNG,positive-deactive,frame_000061.PNG,negative-deactive,frame_000061.PNG
frame_000062.PNG,positive-deactive,frame_000062.PNG,negative-deactive,frame_000062.PNG
frame_000063.PNG,positive-deactive,frame_000063.PNG,negative-deactive,frame_000063.PNG
frame_000064.PNG,positive-deactive,frame_000064.PNG,negative-deactive,frame_000064.PNG
frame_000071.PNG,positive-deactive,frame_000071.PNG,negative-deactive,frame_000071.PNG
frame_000072.PNG,positive-deactive,frame_000072.PNG,negative-deactive,frame_000072.PNG
frame_000073.PNG,positive-deactive,frame_000073.PNG,negative-deactive,frame_000073.PNG
frame_000074.PNG,positive-active,frame_000074.PNG,negative-deactive,frame_000074.PNG
frame_000075.PNG,positive-active,frame_000075.PNG,negative-deactive,frame_000075.PNG
frame_000076.PNG,positive-active,frame_000076.PNG,negative-deactive,frame_000076.PNG
frame_000077.PNG,positive-active,frame_000077.PNG,negative-deactive,frame_000077.PNG
frame_000078.PNG,positive-active,frame_000078.PNG,negative-deactive,frame_000078.PNG
