data,psy,img
negative-deactive,positive-deactive,frame_000000.PNG
negative-deactive,positive-deactive,frame_000001.PNG
negative-deactive,positive-deactive,frame_000002.PNG
positive-deactive,positive-deactive,frame_000003.PNG
positive-deactive,positive-deactive,frame_000004.PNG
positive-deactive,positive-deactive,frame_000005.PNG
positive-deactive,positive-deactive,frame_000006.PNG
positive-deactive,positive-deactive,frame_000007.PNG
positive-active,positive-deactive,frame_000009.PNG
positive-active,positive-deactive,frame_000010.PNG
positive-active,positive-deactive,frame_000011.PNG
positive-active,positive-deactive,frame_000012.PNG
positive-active,positive-deactive,frame_000013.PNG
positive-active,positive-deactive,frame_000014.PNG
positive-active,positive-deactive,frame_000015.PNG
positive-active,positive-deactive,frame_000016.PNG
positive-active,positive-deactive,frame_000017.PNG
positive-active,positive-deactive,frame_000018.PNG
positive-active,positive-deactive,frame_000019.PNG
positive-active,positive-deactive,frame_000020.PNG
positive-active,positive-deactive,frame_000021.PNG
positive-active,positive-deactive,frame_000022.PNG
positive-active,positive-deactive,frame_000023.PNG
positive-active,positive-deactive,frame_000024.PNG
positive-active,positive-deactive,frame_000025.PNG
positive-active,positive-deactive,frame_000026.PNG
positive-active,positive-deactive,frame_000027.PNG
positive-active,positive-deactive,frame_000028.PNG
positive-active,positive-deactive,frame_000029.PNG
positive-active,positive-deactive,frame_000030.PNG
positive-active,positive-deactive,frame_000031.PNG
positive-active,positive-deactive,frame_000032.PNG
positive-active,positive-deactive,frame_000033.PNG
positive-active,positive-deactive,frame_000034.PNG
positive-active,positive-deactive,frame_000035.PNG
positive-active,positive-deactive,frame_000036.PNG
positive-active,positive-deactive,frame_000037.PNG
positive-active,positive-deactive,frame_000038.PNG
positive-active,negative-deactive,frame_000039.PNG
positive-active,negative-deactive,frame_000040.PNG
negative-deactive,negative-deactive,frame_000041.PNG
negative-deactive,neutral,frame_000042.PNG
negative-deactive,neutral,frame_000043.PNG
negative-deactive,neutral,frame_000044.PNG
negative-deactive,neutral,frame_000045.PNG
negative-deactive,neutral,frame_000046.PNG
neutral,neutral,frame_000052.PNG
neutral,neutral,frame_000053.PNG
neutral,neutral,frame_000054.PNG
neutral,neutral,frame_000055.PNG
neutral,neutral,frame_000056.PNG
neutral,neutral,frame_000057.PNG
neutral,neutral,frame_000058.PNG
neutral,neutral,frame_000059.PNG
neutral,negative-deactive,frame_000071.PNG
neutral,negative-deactive,frame_000072.PNG
neutral,neutral,frame_000073.PNG
neutral,neutral,frame_000074.PNG
neutral,neutral,frame_000075.PNG
neutral,neutral,frame_000076.PNG
neutral,neutral,frame_000077.PNG
neutral,neutral,frame_000078.PNG
neutral,negative-deactive,frame_000090.PNG
neutral,negative-deactive,frame_000091.PNG
neutral,negative-deactive,frame_000092.PNG
neutral,negative-deactive,frame_000093.PNG
neutral,negative-deactive,frame_000094.PNG
neutral,negative-deactive,frame_000095.PNG
neutral,negative-deactive,frame_000096.PNG
neutral,negative-deactive,frame_000097.PNG
neutral,negative-deactive,frame_000098.PNG
neutral,negative-deactive,frame_000110.PNG
neutral,negative-deactive,frame_000111.PNG
neutral,negative-deactive,frame_000112.PNG
neutral,negative-deactive,frame_000113.PNG
neutral,negative-deactive,frame_000114.PNG
negative-deactive,positive-deactive,frame_000199.PNG
negative-deactive,negative-deactive,frame_000200.PNG
positive-deactive,positive-deactive,frame_000239.PNG
positive-deactive,positive-deactive,frame_000240.PNG
positive-deactive,positive-deactive,frame_000241.PNG
negative-deactive,negative-deactive,frame_000420.PNG
negative-deactive,negative-deactive,frame_000421.PNG
negative-deactive,negative-deactive,frame_000422.PNG
negative-deactive,negative-deactive,frame_000460.PNG
negative-deactive,negative-deactive,frame_000461.PNG
neutral,neutral,frame_000496.PNG
neutral,neutral,frame_000497.PNG
negative-active,neutral,frame_000498.PNG
negative-active,neutral,frame_000499.PNG
negative-active,neutral,frame_000500.PNG
negative-deactive,negative-deactive,frame_000754.PNG
negative-deactive,negative-deactive,frame_000755.PNG
negative-deactive,negative-deactive,frame_000756.PNG
negative-deactive,negative-deactive,frame_000757.PNG
negative-deactive,negative-deactive,frame_000758.PNG
negative-deactive,negative-deactive,frame_000759.PNG
negative-deactive,negative-deactive,frame_000760.PNG
negative-deactive,negative-deactive,frame_000761.PNG
negative-deactive,negative-deactive,frame_000762.PNG
negative-active,negative-deactive,frame_000897.PNG
negative-active,negative-deactive,frame_000898.PNG
negative-active,negative-deactive,frame_000899.PNG
negative-active,negative-deactive,frame_000935.PNG
negative-active,negative-deactive,frame_000936.PNG
negative-active,negative-deactive,frame_000937.PNG
negative-active,negative-deactive,frame_000938.PNG
negative-active,negative-deactive,frame_000939.PNG
negative-active,negative-deactive,frame_000940.PNG
negative-active,negative-deactive,frame_000941.PNG
negative-active,negative-deactive,frame_000942.PNG
negative-active,negative-deactive,frame_000943.PNG
negative-active,negative-deactive,frame_000944.PNG
negative-active,negative-deactive,frame_000945.PNG
negative-active,negative-deactive,frame_000946.PNG
negative-active,negative-deactive,frame_000947.PNG
negative-active,negative-deactive,frame_000948.PNG
negative-active,negative-deactive,frame_000949.PNG
