data,psy,img
negative-deactive,neutral,frame_000297.PNG
positive-deactive,negative-deactive,frame_000304.PNG
positive-deactive,negative-deactive,frame_000305.PNG
positive-deactive,negative-deactive,frame_000306.PNG
positive-deactive,negative-deactive,frame_000307.PNG
positive-deactive,negative-deactive,frame_000308.PNG
positive-deactive,negative-deactive,frame_000309.PNG
positive-deactive,negative-deactive,frame_000310.PNG
positive-deactive,negative-deactive,frame_000311.PNG
positive-deactive,negative-deactive,frame_000312.PNG
positive-deactive,negative-deactive,frame_000313.PNG
positive-deactive,negative-deactive,frame_000314.PNG
positive-deactive,negative-deactive,frame_000315.PNG
positive-deactive,negative-deactive,frame_000316.PNG
positive-deactive,negative-deactive,frame_000317.PNG
positive-deactive,negative-deactive,frame_000318.PNG
positive-deactive,negative-deactive,frame_000319.PNG
positive-deactive,negative-deactive,frame_000320.PNG
positive-deactive,negative-deactive,frame_000321.PNG
positive-deactive,negative-deactive,frame_000322.PNG
positive-deactive,negative-deactive,frame_000323.PNG
positive-deactive,negative-deactive,frame_000324.PNG
positive-deactive,negative-deactive,frame_000325.PNG
positive-deactive,negative-deactive,frame_000326.PNG
positive-deactive,negative-deactive,frame_000327.PNG
positive-deactive,negative-deactive,frame_000328.PNG
positive-deactive,negative-deactive,frame_000329.PNG
negative-deactive,negative-deactive,frame_000330.PNG
negative-deactive,neutral,frame_000331.PNG
positive-active,positive-active,frame_000347.PNG
positive-active,positive-active,frame_000348.PNG
positive-active,positive-active,frame_000349.PNG
positive-active,positive-active,frame_000350.PNG
positive-active,positive-active,frame_000351.PNG
positive-active,positive-active,frame_000352.PNG
positive-active,positive-active,frame_000353.PNG
positive-active,positive-active,frame_000354.PNG
positive-active,positive-active,frame_000355.PNG
positive-deactive,neutral,frame_000356.PNG
positive-deactive,neutral,frame_000357.PNG
positive-deactive,neutral,frame_000358.PNG
positive-deactive,neutral,frame_000359.PNG
positive-active,neutral,frame_000360.PNG
positive-active,neutral,frame_000361.PNG
positive-active,neutral,frame_000362.PNG
positive-deactive,neutral,frame_000363.PNG
positive-deactive,neutral,frame_000364.PNG
positive-deactive,neutral,frame_000365.PNG
positive-deactive,neutral,frame_000366.PNG
positive-deactive,neutral,frame_000367.PNG
positive-deactive,neutral,frame_000368.PNG
positive-deactive,neutral,frame_000369.PNG
positive-deactive,neutral,frame_000370.PNG
positive-active,negative-deactive,frame_000371.PNG
positive-active,negative-deactive,frame_000372.PNG
positive-active,negative-deactive,frame_000373.PNG
positive-active,negative-deactive,frame_000374.PNG
positive-active,negative-deactive,frame_000375.PNG
positive-active,negative-deactive,frame_000376.PNG
positive-active,negative-deactive,frame_000377.PNG
positive-deactive,negative-deactive,frame_000378.PNG
positive-deactive,negative-deactive,frame_000379.PNG
positive-deactive,negative-deactive,frame_000380.PNG
positive-deactive,negative-deactive,frame_000381.PNG
positive-deactive,negative-deactive,frame_000382.PNG
positive-deactive,negative-deactive,frame_000383.PNG
positive-deactive,negative-deactive,frame_000384.PNG
positive-deactive,negative-deactive,frame_000385.PNG
positive-deactive,negative-deactive,frame_000386.PNG
positive-deactive,negative-deactive,frame_000387.PNG
positive-deactive,negative-deactive,frame_000388.PNG
positive-deactive,negative-deactive,frame_000389.PNG
positive-deactive,negative-deactive,frame_000390.PNG
positive-deactive,negative-deactive,frame_000391.PNG
positive-deactive,negative-deactive,frame_000392.PNG
positive-deactive,negative-deactive,frame_000393.PNG
positive-deactive,negative-deactive,frame_000394.PNG
positive-deactive,negative-deactive,frame_000395.PNG
positive-deactive,negative-deactive,frame_000396.PNG
positive-deactive,negative-deactive,frame_000397.PNG
positive-deactive,negative-deactive,frame_000398.PNG
positive-deactive,negative-deactive,frame_000399.PNG
positive-deactive,negative-deactive,frame_000407.PNG
positive-deactive,negative-deactive,frame_000412.PNG
positive-deactive,neutral,frame_000413.PNG
positive-deactive,neutral,frame_000414.PNG
