,pred,label
0,0,3
1,2,3
2,2,3
3,2,3
4,2,3
5,2,3
6,4,3
7,2,3
8,2,3
9,2,3
10,2,3
11,0,3
12,2,3
13,2,3
14,4,3
15,0,3
16,2,3
17,2,3
18,2,3
19,2,3
20,2,3
21,2,3
22,2,3
23,2,3
24,2,3
25,2,3
26,2,3
27,2,3
28,2,3
29,2,3
30,2,3
31,2,3
32,2,3
33,4,3
34,0,3
35,2,3
36,2,3
37,2,3
38,0,3
39,2,3
40,2,3
41,2,3
42,2,3
43,2,3
44,2,3
45,2,3
46,2,3
47,2,3
48,2,3
49,2,3
50,2,3
51,2,3
52,2,3
53,2,3
54,2,3
55,2,3
56,2,3
57,2,3
58,2,3
59,2,3
60,2,3
61,2,3
62,2,3
63,2,3
64,2,3
65,2,3
66,2,3
67,2,3
68,2,3
69,1,3
70,2,3
71,2,3
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
79,2,2
80,2,2
81,2,2
82,0,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,4
88,2,4
89,2,4
90,2,4
91,2,4
92,2,4
93,2,4
94,2,4
95,2,4
96,0,4
97,0,4
98,4,4
99,2,4
100,2,4
101,2,4
102,2,3
103,2,3
104,0,3
105,2,3
106,2,2
107,4,2
108,0,2
109,2,2
110,2,2
111,2,2
112,2,2
113,2,2
114,0,2
115,2,4
116,2,4
117,2,4
118,2,4
119,2,4
120,2,4
121,2,1
122,2,1
123,2,1
124,2,1
125,2,1
126,2,1
127,2,1
128,2,1
129,2,1
130,2,1
131,0,1
132,2,1
133,2,1
134,2,1
135,2,1
136,2,1
137,0,1
138,2,1
139,2,1
140,2,1
141,1,1
142,2,1
143,2,1
144,2,1
145,2,1
146,2,1
147,2,1
148,2,1
149,2,1
150,2,4
151,2,4
152,2,4
153,2,4
154,2,4
155,2,4
156,1,4
157,2,4
158,1,4
159,2,4
160,2,4
161,0,4
162,2,4
163,2,4
164,0,4
165,2,4
166,2,4
167,0,4
168,2,4
169,2,4
170,2,4
171,2,4
172,2,4
173,0,3
174,2,1
175,2,1
176,2,1
177,2,1
178,2,1
179,2,1
180,0,1
181,2,1
182,2,0
183,2,0
184,2,0
185,2,0
186,2,0
187,2,0
188,1,0
189,2,0
190,2,0
191,2,0
192,2,0
193,2,0
194,1,0
195,2,0
196,2,0
197,2,0
198,1,0
199,1,0
200,2,0
201,1,0
202,1,2
203,2,2
204,1,2
205,2,0
206,1,0
207,2,0
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,1,1
233,1,1
234,2,1
235,2,1
236,1,1
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,1
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,1,1
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,1,1
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,1,1
281,1,1
282,1,1
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,2,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,0,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,2,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,0,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,0,1
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,2
415,2,4
416,1,4
417,2,4
418,1,4
419,1,4
420,1,4
421,1,4
422,1,4
423,1,4
424,1,4
425,1,4
426,1,4
427,1,4
428,1,4
429,1,4
430,1,4
431,1,4
432,1,4
433,1,4
434,1,4
435,1,4
436,1,2
437,1,1
438,0,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,0,1
457,1,1
458,1,1
459,1,1
460,0,1
461,1,1
462,1,1
463,1,1
464,0,1
465,0,1
466,1,1
467,1,1
468,0,1
469,1,1
470,0,1
471,0,1
472,1,1
473,2,1
474,0,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,1,1
485,1,1
486,1,3
487,0,3
488,1,3
489,0,3
490,0,3
491,1,3
492,1,3
493,0,3
494,1,3
495,1,3
496,0,3
497,1,3
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
503,1,1
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,1,1
516,0,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,0,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
536,0,1
537,0,1
538,0,1
539,1,1
540,1,4
541,0,4
542,0,4
543,1,4
544,0,4
545,0,4
546,0,4
547,0,4
548,1,4
549,0,4
550,1,4
551,1,4
552,1,4
553,0,4
554,1,4
555,1,4
556,0,4
557,0,4
558,0,4
559,2,4
560,1,4
561,2,4
562,0,4
563,0,4
564,1,4
565,0,4
566,2,4
567,0,4
568,1,4
569,0,4
570,2,4
571,1,4
572,2,4
573,2,4
574,1,4
575,0,4
576,1,4
577,1,1
578,0,1
579,1,1
580,0,1
581,0,1
582,1,1
583,1,1
584,0,1
585,0,1
586,1,1
587,1,1
588,0,1
589,1,1
590,1,1
591,0,1
592,1,1
593,1,1
594,0,1
595,1,1
596,1,3
597,1,3
598,1,3
599,1,3
600,0,3
601,1,3
602,1,2
603,1,1
604,1,1
605,1,1
606,1,1
607,1,1
608,1,1
609,2,1
610,1,1
611,1,1
612,1,1
613,2,1
614,0,1
615,0,1
616,3,1
617,1,1
618,1,1
619,0,4
620,1,4
621,1,4
622,0,4
623,0,4
624,0,4
625,1,4
626,3,4
627,1,4
628,4,4
629,0,4
630,0,4
631,0,4
632,2,4
633,1,4
634,1,4
635,3,4
636,0,4
637,3,4
638,1,4
639,1,4
640,0,4
641,0,4
642,2,4
643,0,1
644,1,1
645,1,1
646,0,1
647,1,1
648,0,4
649,1,4
650,0,4
651,0,4
652,0,4
653,1,4
654,1,4
655,0,4
656,1,4
657,1,4
658,0,4
659,1,1
660,1,1
661,1,1
662,1,1
663,0,1
664,1,1
665,1,1
666,1,3
667,1,3
668,1,3
669,1,3
670,1,3
671,0,3
672,0,3
673,0,3
674,1,3
675,1,3
676,1,3
677,0,3
678,1,3
679,1,1
680,1,4
681,1,4
682,1,4
683,1,4
684,2,4
685,2,1
686,2,1
687,1,1
688,1,1
689,0,1
690,1,1
691,1,1
692,1,1
693,0,4
694,0,4
695,1,4
696,1,4
697,0,4
698,0,4
699,0,4
700,0,4
701,0,4
702,0,4
703,0,4
704,0,4
705,0,4
706,0,4
707,1,4
708,2,4
709,0,4
710,0,4
711,1,4
712,1,4
713,0,4
714,0,4
715,2,4
716,0,4
717,0,4
718,1,4
719,0,4
720,0,4
721,0,4
722,0,4
723,0,4
724,2,4
725,0,1
726,0,1
727,0,2
728,0,2
729,0,1
730,0,1
731,0,1
732,0,1
733,0,1
734,0,1
735,0,1
736,0,1
737,1,1
738,1,1
739,2,1
740,3,1
741,2,1
742,1,1
743,1,1
744,0,1
745,0,1
746,0,4
747,1,4
748,1,4
749,2,1
750,2,1
751,2,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,1
757,2,1
758,2,1
759,2,1
760,2,1
761,2,1
762,0,1
763,1,1
764,1,1
765,1,3
766,1,3
767,1,1
768,1,3
769,0,3
770,1,3
771,1,3
772,0,1
773,1,1
774,0,1
775,0,1
776,1,1
777,1,3
778,1,3
779,1,3
780,1,3
781,1,3
782,1,3
783,1,3
784,1,3
785,1,3
786,1,3
787,1,3
788,1,3
789,1,3
790,1,3
791,0,3
792,1,3
793,1,3
794,1,3
795,1,3
796,1,3
797,1,3
798,1,3
799,1,3
800,1,3
801,1,3
802,1,3
803,1,3
804,1,3
805,1,3
806,1,3
807,1,1
808,0,1
809,1,1
810,1,1
811,1,1
812,2,1
813,0,1
814,1,1
815,0,1
816,1,1
817,1,1
818,1,1
819,1,1
820,1,1
821,1,1
822,0,1
823,1,1
824,1,1
825,1,1
826,1,1
827,0,1
828,0,1
829,2,1
830,0,1
831,1,1
832,1,1
833,1,0
834,0,0
835,0,0
836,0,0
837,0,0
838,2,0
839,1,0
840,2,0
841,0,0
842,0,0
843,2,0
844,0,0
845,2,0
846,1,0
847,2,0
848,1,0
849,2,0
850,0,0
851,2,0
852,0,0
853,0,0
854,0,0
855,0,0
856,2,0
857,0,0
858,0,0
859,0,0
860,2,0
861,2,0
862,0,0
863,0,0
864,0,0
865,2,2
866,2,2
867,2,2
868,2,2
869,2,2
870,2,2
871,2,2
872,2,4
873,2,4
874,2,4
875,2,4
876,2,4
877,2,4
878,2,4
879,2,4
880,0,4
881,2,4
882,2,4
883,2,4
884,2,4
885,2,4
886,2,4
887,2,4
888,2,4
889,2,4
890,2,4
891,2,4
892,2,4
893,2,4
894,2,4
895,2,4
896,2,4
897,2,4
898,2,4
899,2,4
900,2,4
901,2,4
902,2,4
903,2,4
904,2,4
905,2,4
906,2,4
907,2,4
908,2,4
909,2,4
910,2,4
911,2,4
912,4,4
913,2,4
914,2,4
915,2,4
916,2,4
917,2,4
918,2,4
919,2,4
920,1,4
921,2,4
922,2,4
923,2,4
924,2,4
925,2,4
926,2,4
927,2,4
928,2,4
929,2,4
930,2,4
931,2,4
932,2,4
933,2,4
934,2,4
935,2,4
936,2,4
937,2,4
938,2,4
939,2,4
940,2,4
941,2,4
942,2,4
943,2,4
944,2,4
945,2,4
946,2,4
947,4,4
948,2,4
949,2,4
950,2,4
951,2,4
952,2,4
953,2,4
954,2,4
955,2,4
956,2,4
957,2,4
958,2,4
959,2,4
960,2,4
961,2,2
962,1,2
963,2,2
964,2,2
965,2,2
966,2,2
967,2,2
968,2,2
969,2,2
970,2,2
971,2,2
972,1,2
973,2,1
974,2,1
975,2,1
976,2,1
977,2,4
978,2,4
979,2,4
980,2,4
981,1,4
982,2,4
983,2,4
984,2,4
985,2,4
986,2,4
987,2,4
988,2,4
989,2,4
990,2,4
991,2,4
992,2,4
993,2,4
994,2,4
995,4,4
996,1,4
997,2,4
998,2,4
999,1,4
1000,2,4
1001,2,4
1002,2,4
1003,2,4
1004,2,4
1005,2,4
1006,2,4
1007,2,4
1008,2,4
1009,2,4
1010,2,2
1011,1,1
1012,2,1
1013,2,1
1014,2,1
1015,2,1
1016,2,1
1017,1,1
1018,2,1
1019,2,1
1020,2,1
1021,1,1
1022,0,1
1023,1,1
1024,1,1
1025,0,1
1026,2,1
1027,1,1
1028,1,1
1029,1,1
1030,1,1
1031,1,1
1032,1,1
1033,1,1
1034,2,1
1035,1,1
1036,1,1
1037,1,1
1038,2,1
1039,1,1
1040,1,1
1041,1,1
1042,1,1
1043,1,1
1044,1,1
1045,1,1
1046,1,1
1047,1,1
1048,1,1
1049,1,1
1050,1,1
1051,1,1
1052,1,1
1053,2,1
1054,1,1
1055,1,1
1056,1,1
1057,1,1
1058,1,1
1059,1,1
1060,1,1
1061,1,1
1062,1,1
1063,1,1
1064,1,1
1065,1,1
1066,1,1
1067,1,1
