,pred,label
0,3,2
1,4,2
2,2,2
3,2,2
4,2,2
5,3,2
6,2,2
7,3,2
8,3,2
9,2,2
10,3,2
11,2,2
12,4,2
13,3,2
14,3,2
15,2,2
16,3,2
17,2,2
18,2,2
19,3,2
20,3,3
21,3,3
22,3,3
23,3,3
24,1,3
25,2,3
26,3,3
27,3,3
28,3,3
29,3,3
30,2,3
31,3,3
32,3,3
33,3,3
34,3,3
35,1,3
36,3,3
37,3,3
38,3,3
39,1,3
40,2,3
41,1,3
42,1,2
43,2,2
44,1,2
45,2,2
46,2,2
47,3,2
48,3,2
49,2,2
50,2,2
51,2,2
52,2,2
53,2,2
54,3,2
55,3,2
56,3,2
57,2,2
58,3,2
59,3,2
60,3,2
61,3,2
62,3,2
63,3,2
64,3,2
65,3,2
66,2,2
67,2,2
68,2,2
69,3,2
70,3,2
71,2,2
72,2,2
73,3,2
74,3,2
75,2,2
76,2,2
77,3,2
78,0,2
79,2,2
80,0,2
81,3,2
82,2,2
83,2,2
84,3,2
85,1,2
86,3,2
87,3,2
88,3,2
89,2,2
90,3,2
91,2,2
92,2,2
93,3,2
94,2,2
95,2,2
96,2,2
97,2,2
98,4,2
99,3,2
100,3,2
101,2,2
102,3,2
103,3,2
104,2,2
105,3,2
106,3,2
107,2,2
108,2,2
109,3,2
110,2,2
111,3,2
112,3,2
113,2,2
114,2,2
115,3,2
116,3,2
117,2,2
118,3,2
119,2,2
120,2,2
121,4,2
122,3,2
123,2,2
124,3,2
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,2,2
131,3,2
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,3,2
139,2,2
140,3,2
141,2,2
142,3,2
143,3,2
144,2,2
145,3,2
146,2,2
147,2,2
148,2,2
149,3,2
150,2,2
151,2,2
152,2,2
153,2,2
154,2,2
155,3,2
156,2,2
157,2,2
158,2,2
159,2,2
160,3,2
161,2,2
162,2,2
163,2,2
164,2,2
165,2,2
166,3,2
167,2,2
168,2,2
169,2,2
170,2,2
171,2,2
172,3,2
173,2,2
174,2,2
175,3,2
176,2,2
177,2,2
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,2,2
184,3,2
185,2,2
186,2,2
187,2,2
188,2,2
189,2,2
190,4,2
191,2,2
192,4,2
193,2,2
194,2,2
195,3,2
196,2,2
197,2,2
198,2,2
199,2,2
200,2,2
201,3,2
202,2,2
203,2,2
204,2,2
205,2,0
206,2,0
207,3,0
208,2,0
209,2,0
210,2,0
211,2,0
212,3,0
213,3,2
214,2,2
215,2,2
216,2,2
217,3,2
218,3,2
219,2,2
220,4,2
221,4,2
222,4,2
223,2,2
224,2,2
225,2,2
226,4,2
227,2,2
228,2,2
229,2,2
230,3,2
231,2,2
232,4,2
233,4,2
234,2,2
235,2,2
236,3,2
237,3,2
238,2,2
239,4,2
240,3,2
241,2,2
242,3,2
243,2,2
244,4,2
245,2,2
246,2,2
247,2,2
248,2,2
249,2,2
250,2,2
251,2,2
252,2,2
253,2,2
254,2,2
255,2,2
256,2,2
257,2,2
258,3,2
259,2,2
260,2,2
261,4,2
262,2,2
263,4,2
264,2,2
265,2,2
266,4,2
267,4,2
268,4,2
269,2,2
270,2,2
271,2,2
272,3,2
273,2,2
274,2,2
275,2,2
276,3,2
277,3,2
278,3,2
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,2
286,3,2
287,4,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,0
293,2,0
294,2,0
295,2,0
296,2,0
297,2,0
298,4,0
299,2,0
300,4,0
301,2,0
302,2,0
303,2,0
304,2,0
305,2,0
306,2,0
307,2,0
308,2,0
309,2,0
310,2,0
311,4,0
312,2,0
313,4,0
314,2,0
315,2,0
316,2,0
317,2,0
318,2,0
319,2,0
320,4,0
321,2,0
322,2,0
323,2,0
324,2,0
325,2,0
326,2,0
327,2,0
328,2,0
329,2,0
330,3,0
331,2,0
332,2,0
333,2,0
334,2,0
335,3,0
336,2,0
337,2,0
338,2,0
339,2,0
340,2,0
341,2,0
342,2,0
343,2,0
344,2,0
345,2,0
346,3,0
347,3,0
348,2,0
349,2,0
350,2,0
351,2,0
352,3,0
353,2,0
354,2,2
355,2,2
356,2,2
357,2,2
358,2,2
359,2,2
360,2,2
361,2,2
362,3,2
363,2,2
364,3,2
365,2,2
366,2,2
367,3,2
368,3,2
369,2,2
370,3,2
371,3,2
372,2,2
373,2,2
374,2,2
375,2,2
376,2,2
377,2,2
378,2,2
379,3,2
380,2,2
381,2,2
382,3,2
383,2,2
384,2,2
385,2,2
386,3,2
387,2,2
388,2,2
389,2,2
390,1,2
391,3,2
392,3,2
393,3,2
394,3,2
395,2,2
396,2,2
397,2,2
398,2,2
399,2,2
400,2,2
401,2,2
402,3,2
403,2,2
404,2,2
405,2,2
406,2,2
407,3,2
408,2,2
409,2,2
410,2,2
411,2,2
412,2,2
413,2,2
414,2,2
415,2,2
416,2,2
417,4,2
418,2,0
419,2,0
420,2,0
421,2,0
422,2,0
423,2,0
424,2,0
425,2,0
426,2,0
427,3,2
428,2,2
429,2,2
430,2,2
431,2,2
432,2,2
433,2,2
434,2,2
435,2,2
436,2,2
437,2,2
438,2,2
439,2,2
440,2,2
441,2,2
442,2,2
443,3,2
444,2,2
445,2,2
446,3,2
447,3,2
448,2,2
449,2,2
450,2,2
451,3,2
452,3,2
453,2,2
454,2,2
455,3,3
456,3,3
457,1,3
458,2,3
459,2,3
460,2,3
461,2,3
462,3,3
463,3,3
464,2,3
465,3,3
466,2,3
467,3,3
468,3,3
469,2,3
470,3,3
471,3,3
472,3,3
473,3,3
474,2,3
475,1,3
476,1,3
477,1,3
478,1,3
479,1,3
480,1,3
481,1,3
482,3,1
483,1,1
484,1,1
485,1,1
486,3,1
487,1,3
488,3,3
489,1,3
490,3,3
491,1,3
492,1,3
493,3,3
494,1,3
495,1,3
496,2,3
497,1,3
498,1,3
499,1,2
500,2,0
501,1,0
502,2,0
503,2,0
504,3,0
505,2,0
506,1,0
507,2,0
508,3,0
509,3,0
510,2,0
511,3,0
512,3,0
513,2,2
514,3,2
515,2,2
516,2,2
517,3,2
518,3,2
519,2,2
520,3,2
521,3,2
522,3,2
523,3,3
524,2,3
525,2,3
526,3,3
527,3,3
528,3,3
529,3,3
530,1,3
531,3,3
532,2,3
533,2,3
534,1,2
535,1,2
536,1,2
537,3,2
538,3,2
539,3,2
540,3,2
541,3,2
542,3,2
543,3,2
544,3,2
545,3,2
546,2,2
547,3,2
548,3,2
549,3,2
550,2,2
551,3,2
552,3,2
553,2,2
554,3,2
555,3,2
556,3,2
557,3,2
558,1,2
559,1,2
560,3,2
561,1,3
562,3,3
563,3,3
564,3,2
565,1,2
566,2,2
567,3,2
568,2,2
569,2,2
570,3,2
571,2,2
572,2,0
573,3,0
574,2,0
575,3,0
576,3,0
577,3,0
578,1,2
579,3,2
580,1,2
581,1,2
582,1,2
583,2,2
584,2,2
585,1,2
586,1,2
587,3,3
588,1,3
589,3,3
590,3,3
591,1,3
592,1,3
593,3,3
594,3,3
595,2,3
596,3,3
597,1,3
598,1,3
599,1,3
600,3,3
601,1,3
602,1,3
603,1,3
604,1,1
605,1,1
606,1,1
607,2,1
608,1,3
609,2,2
610,2,2
611,3,2
612,3,2
613,3,2
614,3,2
615,3,2
616,1,3
617,3,3
618,1,3
619,3,3
620,3,3
621,1,3
622,3,3
623,1,3
624,1,3
625,3,3
626,1,3
627,3,3
628,3,3
629,1,3
630,3,3
631,3,3
632,3,3
633,3,3
634,3,3
635,3,3
636,3,3
637,2,3
638,3,3
639,3,3
640,1,3
641,1,3
642,3,3
643,1,3
644,3,3
645,1,2
646,3,2
647,3,2
648,2,2
649,3,2
650,1,2
651,3,2
652,1,2
653,1,2
654,3,2
655,1,2
656,3,2
657,1,2
658,1,2
659,2,2
660,2,2
661,1,2
662,1,2
663,1,2
664,1,2
665,0,2
666,1,2
667,3,2
668,3,2
669,3,2
670,1,2
671,2,2
672,2,2
673,1,2
674,2,2
675,2,2
676,2,2
677,2,2
678,2,2
679,2,2
680,3,2
681,3,2
682,4,2
683,3,2
684,3,2
685,2,2
686,2,2
687,3,2
688,3,2
689,3,2
690,2,2
691,3,2
692,2,2
693,3,2
694,3,2
695,3,2
696,3,2
697,3,2
698,3,2
699,2,2
700,3,3
701,2,3
702,3,2
703,3,2
704,3,2
705,3,2
706,3,2
707,3,2
708,3,2
709,2,2
710,2,2
711,3,2
712,2,2
713,2,2
714,3,2
715,2,2
716,2,2
717,3,2
718,3,2
719,2,2
720,2,2
721,1,2
722,4,2
723,3,2
724,2,2
725,3,2
726,3,2
727,3,2
728,3,2
729,3,2
730,3,2
731,1,2
732,1,2
733,3,0
734,3,0
735,3,0
736,2,0
737,3,0
738,3,0
739,3,0
740,3,0
741,3,0
742,3,0
743,3,0
744,4,0
745,3,0
746,4,0
747,3,0
748,3,0
749,3,0
750,3,0
751,1,0
752,3,0
753,3,0
754,2,0
755,3,0
756,3,0
757,3,0
758,3,0
759,1,0
760,1,0
761,2,0
762,0,0
763,1,0
764,1,1
765,1,1
766,3,1
767,1,1
768,1,1
769,1,1
770,1,1
771,2,3
772,2,3
773,3,0
774,3,0
775,3,0
776,3,0
777,3,0
778,3,0
779,3,0
780,1,0
781,1,0
782,1,1
783,1,1
784,1,1
785,2,1
786,1,1
787,3,1
788,1,1
789,1,2
790,3,0
791,1,0
792,1,0
793,3,0
794,3,0
795,3,0
796,3,0
797,3,0
798,1,0
799,1,0
800,2,0
801,1,0
802,2,0
803,2,0
804,2,0
805,3,0
806,2,0
807,4,0
808,2,0
809,3,0
810,3,0
811,4,0
812,2,0
813,3,0
814,3,0
815,3,0
816,1,0
817,3,1
818,3,2
819,3,2
820,3,2
821,3,2
822,1,2
823,2,3
824,3,3
825,1,1
826,1,1
827,3,1
828,1,1
829,3,1
830,1,1
831,2,1
832,1,1
833,3,1
834,2,1
835,1,1
836,1,1
837,1,1
838,3,1
839,1,1
840,1,1
841,3,1
842,1,1
843,3,1
844,0,1
845,1,1
846,1,1
847,1,1
848,3,1
849,1,1
850,3,1
851,1,1
852,1,1
853,1,1
854,3,1
855,3,1
856,1,1
857,3,1
858,1,1
859,1,1
860,1,1
861,1,1
862,3,1
863,3,2
864,1,2
865,3,2
866,3,2
867,2,2
868,3,2
869,3,2
870,3,2
871,2,2
872,2,2
873,2,2
874,2,2
875,3,2
876,2,2
877,3,2
878,3,2
879,2,2
880,3,2
881,2,2
882,2,2
883,3,2
884,2,2
885,3,2
886,4,2
887,3,2
888,2,2
889,3,2
890,3,2
891,3,2
892,3,2
893,3,2
894,3,2
895,3,2
896,4,2
897,3,2
898,3,2
899,2,2
900,2,2
901,3,2
902,3,2
903,1,2
904,2,2
905,3,2
906,3,2
907,2,2
908,3,2
909,2,2
910,3,2
911,3,3
912,1,3
913,3,3
914,2,3
915,3,3
916,3,3
917,3,3
918,3,3
919,3,3
920,4,3
921,3,3
922,3,3
923,3,3
924,3,3
925,3,3
926,2,2
927,3,2
928,3,2
929,3,2
930,3,2
931,3,2
932,3,2
933,3,2
934,1,2
935,3,2
936,2,2
937,3,2
938,3,2
939,2,3
940,2,3
941,2,3
942,2,2
943,3,2
944,3,2
945,3,2
946,3,2
947,2,0
948,1,0
949,2,0
950,3,0
951,3,0
952,3,0
953,1,0
954,3,0
955,3,0
956,2,0
957,3,0
958,2,0
959,1,0
960,3,0
961,1,0
962,3,0
963,2,0
964,2,0
965,1,0
966,3,0
967,3,0
968,2,0
969,3,0
970,1,0
971,3,0
972,3,0
973,3,0
974,3,0
975,1,0
976,3,0
977,3,0
978,3,0
979,1,0
980,1,0
981,2,0
982,1,0
983,2,0
984,2,0
985,1,0
986,1,0
987,2,2
988,2,2
989,2,2
990,1,2
991,1,2
992,2,2
993,2,2
994,1,2
995,1,2
996,2,2
997,1,2
998,2,2
999,2,2
1000,2,2
1001,2,2
1002,2,2
1003,3,2
1004,2,2
1005,2,2
1006,2,2
1007,2,2
1008,2,2
1009,2,2
1010,2,2
1011,2,2
1012,2,2
1013,3,2
1014,2,2
1015,2,2
1016,2,2
1017,2,2
1018,2,2
1019,2,2
1020,2,2
1021,2,2
1022,3,3
1023,2,3
1024,2,3
1025,2,3
1026,3,3
1027,2,3
1028,2,3
1029,1,1
1030,3,1
1031,2,1
1032,2,1
1033,3,1
1034,2,1
1035,1,1
1036,1,1
1037,1,1
1038,2,1
1039,1,1
1040,2,1
1041,1,1
1042,1,3
1043,2,3
1044,3,3
1045,3,3
1046,2,3
1047,1,3
1048,2,3
1049,1,3
1050,1,3
1051,2,3
1052,2,3
1053,1,3
1054,3,3
1055,3,3
1056,1,3
1057,3,2
1058,2,2
1059,3,2
1060,3,2
1061,2,2
1062,2,2
1063,2,2
1064,3,2
