,pred,label
0,2,2
1,2,2
2,2,2
3,2,2
4,1,2
5,1,2
6,2,2
7,1,2
8,2,2
9,2,2
10,2,2
11,2,2
12,2,2
13,2,2
14,1,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,1,2
21,2,2
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,3,1
29,1,1
30,2,1
31,2,1
32,2,1
33,2,1
34,2,1
35,2,1
36,1,1
37,2,1
38,3,1
39,3,1
40,1,1
41,2,1
42,2,1
43,2,1
44,2,1
45,1,1
46,1,1
47,2,1
48,2,1
49,2,1
50,2,1
51,1,1
52,2,1
53,1,1
54,3,1
55,2,1
56,2,1
57,2,1
58,1,1
59,0,1
60,2,1
61,2,1
62,3,1
63,1,1
64,2,1
65,3,1
66,2,1
67,1,1
68,3,1
69,3,1
70,3,1
71,2,1
72,3,1
73,3,1
74,3,1
75,2,1
76,3,1
77,2,1
78,1,1
79,3,1
80,2,1
81,2,1
82,2,1
83,2,1
84,1,1
85,3,1
86,2,1
87,2,3
88,3,3
89,2,3
90,2,3
91,3,3
92,2,3
93,3,3
94,2,3
95,2,3
96,3,3
97,1,1
98,3,1
99,3,1
100,3,1
101,1,3
102,3,3
103,3,3
104,3,3
105,3,3
106,3,3
107,3,3
108,1,3
109,2,3
110,3,3
111,3,3
112,3,3
113,3,3
114,3,3
115,2,3
116,2,3
117,2,3
118,2,3
119,1,3
120,1,3
121,3,3
122,2,3
123,2,3
124,2,3
125,2,1
126,2,1
127,2,1
128,1,1
129,3,1
130,2,1
131,2,1
132,2,1
133,2,1
134,2,1
135,2,1
136,2,1
137,2,1
138,2,1
139,2,1
140,2,1
141,2,1
142,2,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,3,1
149,3,1
150,2,1
151,2,1
152,2,1
153,3,1
154,2,1
155,3,1
156,2,1
157,2,1
158,2,1
159,2,1
160,2,1
161,2,1
162,1,1
163,1,1
164,2,1
165,2,1
166,1,1
167,2,1
168,2,1
169,2,1
170,3,1
171,1,1
172,2,1
173,3,1
174,1,1
175,1,1
176,3,1
177,2,1
178,2,1
179,2,1
180,3,1
181,1,1
182,2,1
183,3,1
184,1,1
185,1,1
186,2,1
187,0,1
188,2,1
189,2,1
190,2,1
191,2,1
192,2,1
193,1,1
194,1,1
195,1,1
196,3,1
197,1,1
198,2,1
199,2,1
200,2,1
201,1,1
202,3,1
203,1,1
204,3,1
205,2,1
206,2,1
207,1,1
208,1,1
209,2,1
210,3,1
211,3,1
212,2,1
213,1,1
214,3,1
215,2,1
216,2,1
217,2,1
218,1,1
219,2,1
220,2,1
221,1,1
222,1,3
223,2,3
224,3,3
225,2,3
226,2,3
227,1,3
228,3,3
229,1,3
230,3,3
231,1,3
232,3,3
233,3,3
234,3,3
235,2,3
236,2,3
237,2,2
238,2,2
239,3,2
240,2,2
241,2,2
242,3,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,2,2
249,2,2
250,2,2
251,2,2
252,3,2
253,1,2
254,1,2
255,3,2
256,2,2
257,2,2
258,2,2
259,2,2
260,1,2
261,3,2
262,3,2
263,2,2
264,3,2
265,1,2
266,1,2
267,1,2
268,2,2
269,1,3
270,3,3
271,2,2
272,2,2
273,1,4
274,2,2
275,1,2
276,1,2
277,1,2
278,2,2
279,2,2
280,2,2
281,3,2
282,2,2
283,2,2
284,2,2
285,2,2
286,2,2
287,2,2
288,2,2
289,1,2
290,2,2
291,2,2
292,2,2
293,2,2
294,2,2
295,2,2
296,2,2
297,2,2
298,2,2
299,2,2
300,2,2
301,2,3
302,2,3
303,2,3
304,2,3
305,2,3
306,2,3
307,2,3
308,1,3
309,2,3
310,2,3
311,2,3
